<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TM.US,5,20260126,153000,225.34,225.72,225.34,225.72,1293,0
TM.US,5,20260126,153500,225.89,226.24,225.89,226.24,884,0
TM.US,5,20260126,154000,226.22,226.23,225.99,225.99,754,0
TM.US,5,20260126,154500,225.91,226.03,225.8,226.03,1200,0
TM.US,5,20260126,155000,226.115,226.145,226.08,226.145,516,0
TM.US,5,20260126,155500,226.02,226.07,225.82,225.965,7786,0
TM.US,5,20260126,160000,225.88,226.04,225.85,226,1334,0
TM.US,5,20260126,160500,225.935,226.165,225.93,226.165,3750,0
TM.US,5,20260126,161000,226.015,226.12,226.015,226.065,500,0
TM.US,5,20260126,161500,226.19,226.19,226.01,226.01,703,0
TM.US,5,20260126,162000,226.11,226.15,226.05,226.15,300,0
TM.US,5,20260126,162500,226.085,226.085,225.85,225.86,2166,0
TM.US,5,20260126,163000,225.85,226.055,225.81,226.055,3701,0
TM.US,5,20260126,163500,225.92,226.04,225.915,226.04,405,0
TM.US,5,20260126,164000,225.975,225.975,225.975,225.975,100,0
TM.US,5,20260126,164500,226.03,226.11,226.03,226.11,300,0
TM.US,5,20260126,165000,226.1,226.1,226.0975,226.0975,450,0
TM.US,5,20260126,165500,226.09,226.09,226.09,226.09,300,0
TM.US,5,20260126,170000,226.04,226.16,226.04,226.04,1550,0
TM.US,5,20260126,170500,226.035,226.035,225.865,225.865,899,0
TM.US,5,20260126,171000,225.85,225.85,225.85,225.85,1088,0
TM.US,5,20260126,171500,225.85,225.91,225.79,225.865,4629,0
TM.US,5,20260126,172000,225.86,225.86,225.67,225.75,7433,0
TM.US,5,20260126,172500,225.75,225.84,225.75,225.802,5687,0
TM.US,5,20260126,173000,225.85,225.88,225.85,225.88,804,0
TM.US,5,20260126,173500,225.785,225.85,225.785,225.85,450,0
TM.US,5,20260126,174000,225.8,225.8,225.595,225.639,2877,0
TM.US,5,20260126,174500,225.515,225.5243,225.38,225.38,604,0
TM.US,5,20260126,175500,225.35,225.385,225.34,225.36,584,0
TM.US,5,20260126,180000,225.44,225.56,225.41532,225.56,1126,0
TM.US,5,20260126,180500,225.56,225.63,225.56,225.61,500,0
TM.US,5,20260126,181000,225.61,225.71,225.61,225.62,375,0
TM.US,5,20260126,182000,225.708,225.708,225.68,225.68,600,0
TM.US,5,20260126,182500,225.71,225.71,225.71,225.71,200,0
TM.US,5,20260126,183000,225.72,225.72,225.6,225.665,2573,0
TM.US,5,20260126,183500,225.67,225.67,225.67,225.67,200,0
TM.US,5,20260126,184000,225.654,225.654,225.63,225.63,376,0
TM.US,5,20260126,184500,225.5665,225.5665,225.45,225.45,1101,0
