<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNUK.US,5,20260126,153000,28.809,28.86,28.785,28.8299,3400,0
TNUK.US,5,20260126,171000,28.535,28.535,28.535,28.535,701,0
TNUK.US,5,20260126,171500,28.68,28.68,28.68,28.68,100,0
TNUK.US,5,20260126,173500,28.53,28.53,28.44,28.44,200,0
TNUK.US,5,20260126,183000,28.45,28.45,28.45,28.45,100,0
TNUK.US,5,20260126,185000,28.504,28.504,28.504,28.504,194,0
TNUK.US,5,20260126,185500,28.559,28.559,28.559,28.559,100,0
TNUK.US,5,20260126,190000,28.4776,28.4776,28.4776,28.4776,110,0
TNUK.US,5,20260126,190500,28.51,28.51,28.47,28.47,475,0
TNUK.US,5,20260126,191500,28.46,28.46,28.46,28.46,200,0
TNUK.US,5,20260126,192000,28.485,28.4906,28.45,28.4906,1244,0
TNUK.US,5,20260126,192500,28.52,28.52,28.48,28.49,784,0
TNUK.US,5,20260126,193500,28.4867,28.4867,28.4867,28.4867,105,0
TNUK.US,5,20260126,194000,28.48,28.48,28.48,28.48,100,0
TNUK.US,5,20260126,194500,28.4684,28.4899,28.4684,28.4899,1000,0
TNUK.US,5,20260126,195000,28.51,28.51,28.4776,28.4776,420,0
TNUK.US,5,20260126,200000,28.48,28.48,28.48,28.48,100,0
TNUK.US,5,20260126,201000,28.4325,28.4325,28.4325,28.4325,150,0
TNUK.US,5,20260126,201500,28.41,28.625,28.4099,28.625,1100,0
TNUK.US,5,20260126,202000,28.4,28.63,28.4,28.6,878,0
TNUK.US,5,20260126,202500,28.41,28.41,28.41,28.41,345,0
TNUK.US,5,20260126,204500,28.31,28.31,28.31,28.31,100,0
TNUK.US,5,20260126,205000,28.3,28.3,28.29,28.29,200,0
TNUK.US,5,20260126,210000,28.23,28.23,28.23,28.23,100,0
TNUK.US,5,20260126,211000,28.23,28.23,28.23,28.23,100,0
TNUK.US,5,20260126,212500,28.2,28.2,28.2,28.2,200,0
TNUK.US,5,20260126,213000,28.225,28.225,28.2245,28.2245,300,0
TNUK.US,5,20260127,153000,28.52,28.52,28.3799,28.3799,720,0
TNUK.US,5,20260127,154500,28.46,28.46,28.4,28.4,1756,0
TNUK.US,5,20260127,155500,28.5099,28.5099,28.5099,28.5099,100,0
TNUK.US,5,20260127,160500,28.55,28.55,28.55,28.55,175,0
