<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPTA.US,5,20260126,160000,23.97,23.97,23.97,23.97,100,0
TPTA.US,5,20260126,202000,23.92,23.92,23.92,23.92,555,0
TPTA.US,5,20260126,214500,23.9,23.9,23.9,23.9,500,0
TPTA.US,5,20260126,215500,23.98,23.99,23.98,23.98,400,0
TPTA.US,5,20260127,165500,23.9,23.9,23.89,23.9,1391,0
TPTA.US,5,20260127,171000,23.9055,23.9055,23.9055,23.9055,100,0
TPTA.US,5,20260127,180500,23.89,23.89,23.89,23.89,324,0
TPTA.US,5,20260127,185000,23.84,23.84,23.82,23.83,2526,0
TPTA.US,5,20260127,215000,23.84,23.84,23.8303,23.8303,2700,0
TPTA.US,5,20260127,215500,23.91,23.91,23.91,23.91,101,0
TPTA.US,5,20260128,170000,23.8901,23.8901,23.8901,23.8901,357,0
TPTA.US,5,20260128,190000,23.9494,23.9494,23.9494,23.9494,800,0
TPTA.US,5,20260128,205000,23.8901,23.9449,23.89,23.9449,1474,0
TPTA.US,5,20260128,215500,23.95,23.95,23.95,23.95,100,0
TPTA.US,5,20260129,154000,23.92,23.92,23.9,23.91,800,0
TPTA.US,5,20260129,154500,24.033,24.033,24.033,24.033,1900,0
TPTA.US,5,20260129,155500,23.93,23.93,23.89,23.89,900,0
TPTA.US,5,20260129,160000,23.89,23.89,23.89,23.89,136,0
TPTA.US,5,20260129,160500,23.85,23.85,23.8,23.8,1000,0
TPTA.US,5,20260129,161500,23.84,23.84,23.84,23.84,100,0
TPTA.US,5,20260129,170500,23.85,23.85,23.85,23.85,100,0
TPTA.US,5,20260129,171500,23.77,23.79,23.74,23.79,1400,0
TPTA.US,5,20260129,172000,23.85,23.85,23.84,23.84,200,0
TPTA.US,5,20260129,181000,23.8459,23.8459,23.8459,23.8459,350,0
TPTA.US,5,20260129,181500,23.815,23.815,23.815,23.815,209,0
TPTA.US,5,20260129,183500,23.84,23.84,23.815,23.815,400,0
TPTA.US,5,20260129,185500,23.78,23.78,23.78,23.78,100,0
TPTA.US,5,20260129,190000,23.82,23.82,23.82,23.82,100,0
TPTA.US,5,20260129,191000,23.84,23.84,23.83,23.83,500,0
TPTA.US,5,20260129,195000,23.79,23.79,23.65,23.71,7357,0
TPTA.US,5,20260129,204000,23.7,23.7,23.65,23.65,400,0
