<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRP.US,5,20260126,153000,56.505,56.9129,56.505,56.7278,12287,0
TRP.US,5,20260126,153500,56.73,56.8,56.67,56.74,5733,0
TRP.US,5,20260126,154000,56.74,56.9,56.74,56.87,5350,0
TRP.US,5,20260126,154500,56.87,56.87,56.69,56.69,9867,0
TRP.US,5,20260126,155000,56.705,56.74,56.6,56.6,6230,0
TRP.US,5,20260126,155500,56.6,56.6,56.46,56.4973,10684,0
TRP.US,5,20260126,160000,56.5,56.68,56.49,56.655,25010,0
TRP.US,5,20260126,160500,56.655,56.66,56.6,56.615,2756,0
TRP.US,5,20260126,161000,56.6208,56.625,56.54,56.58,3548,0
TRP.US,5,20260126,161500,56.58,56.635,56.55,56.555,9725,0
TRP.US,5,20260126,162000,56.55,56.64,56.525,56.63,5476,0
TRP.US,5,20260126,162500,56.63,56.6799,56.62,56.67,5787,0
TRP.US,5,20260126,163000,56.66,56.6665,56.53,56.53,3363,0
TRP.US,5,20260126,163500,56.52,56.59,56.51,56.55,4837,0
TRP.US,5,20260126,164000,56.54,56.545,56.43,56.43,5308,0
TRP.US,5,20260126,164500,56.46,56.46,56.41,56.44,3243,0
TRP.US,5,20260126,165000,56.46,56.46,56.38,56.41,5052,0
TRP.US,5,20260126,165500,56.434308,56.48,56.41,56.41,50668,0
TRP.US,5,20260126,170000,56.41,56.42,56.34,56.35,3176,0
TRP.US,5,20260126,170500,56.36,56.37,56.305,56.315,8324,0
TRP.US,5,20260126,171000,56.315,56.33,56.2899,56.33,3922,0
TRP.US,5,20260126,171500,56.31,56.3299,56.27,56.2801,11726,0
TRP.US,5,20260126,172000,56.27,56.2999,56.2499,56.28,8689,0
TRP.US,5,20260126,172500,56.25,56.25,56.102,56.102,9072,0
TRP.US,5,20260126,173000,56.03,56.05,55.945,55.945,9936,0
TRP.US,5,20260126,173500,55.94,56.07,55.93,56.07,7674,0
TRP.US,5,20260126,174000,56.07,56.14,56.07,56.09,6785,0
TRP.US,5,20260126,174500,56.08,56.115,56.05,56.1134,3246,0
TRP.US,5,20260126,175000,56.1084,56.13,56.0511,56.0511,6517,0
TRP.US,5,20260126,175500,56.055,56.055,56.02,56.05,5007,0
TRP.US,5,20260126,180000,56.055,56.0665,56.02,56.065,3656,0
TRP.US,5,20260126,180500,56.07,56.11,56.06,56.08,4730,0
TRP.US,5,20260126,181000,56.065,56.1,56.06,56.09,5024,0
TRP.US,5,20260126,181500,56.08,56.14,56.08,56.08,9191,0
TRP.US,5,20260126,182000,56.08,56.09,56.07,56.09,3642,0
TRP.US,5,20260126,182500,56.07,56.12,56.07,56.09,2246,0
TRP.US,5,20260126,183000,56.1,56.11,56.04,56.06,12019,0
TRP.US,5,20260126,183500,56.075,56.09,56.05,56.05,9403,0
TRP.US,5,20260126,184000,56.05,56.0734,56.0487,56.07,4305,0
TRP.US,5,20260126,184500,56.06,56.07,56.02,56.0202,3650,0
TRP.US,5,20260126,185000,56.03,56.065,56.025,56.0587,4006,0
TRP.US,5,20260126,185500,56.06,56.14,56.06,56.14,3726,0
TRP.US,5,20260126,190000,56.15,56.16,56.1,56.1,13740,0
TRP.US,5,20260126,190500,56.1,56.13,56.095,56.105,4420,0
TRP.US,5,20260126,191000,56.11,56.15,56.1,56.1245,5855,0
TRP.US,5,20260126,191500,56.13,56.145,56.11,56.12,2974,0
TRP.US,5,20260126,192000,56.14,56.14,56.06,56.08,2683,0
TRP.US,5,20260126,192500,56.09,56.09,56.03,56.03,18003,0
TRP.US,5,20260126,193000,56.04,56.05,56.0086,56.01,8839,0
TRP.US,5,20260126,193500,56,56.01,55.9404,56.01,20752,0
TRP.US,5,20260126,194000,56,56.025,55.985,56.01,10867,0
TRP.US,5,20260126,194500,56.015,56.12,56.015,56.07,10647,0
TRP.US,5,20260126,195000,56.09,56.09,56.045,56.045,6560,0
TRP.US,5,20260126,195500,56.04,56.1,56.035,56.035,7434,0
TRP.US,5,20260126,200000,56.04,56.055,56.02,56.05,6935,0
TRP.US,5,20260126,200500,56.04,56.07,56.01,56.04,8094,0
TRP.US,5,20260126,201000,56.05,56.11,56.05,56.1,11305,0
TRP.US,5,20260126,201500,56.09,56.11,56.07,56.075,7763,0
TRP.US,5,20260126,202000,56.075,56.0842,56.05,56.06,4968,0
TRP.US,5,20260126,202500,56.05,56.05,56,56.02,25675,0
TRP.US,5,20260126,203000,56.02,56.04,56.01,56.04,21842,0
TRP.US,5,20260126,203500,56.0455,56.05,55.995,55.995,13520,0
TRP.US,5,20260126,204000,56,56.03,56,56.02,3690,0
TRP.US,5,20260126,204500,56.02,56.04,56,56.03,10893,0
TRP.US,5,20260126,205000,56.035,56.05,55.975,56,6137,0
TRP.US,5,20260126,205500,56,56.01,55.96,55.965,5324,0
TRP.US,5,20260126,210000,55.96,55.97,55.9345,55.94,7033,0
TRP.US,5,20260126,210500,55.93,55.94,55.91,55.92,6554,0
TRP.US,5,20260126,211000,55.925,55.98,55.925,55.98,10361,0
TRP.US,5,20260126,211500,55.97,56.05,55.94,56.045,12936,0
TRP.US,5,20260126,212000,56.05,56.09,55.92,56.07,96265,0
TRP.US,5,20260126,212500,56.07,56.0755,56.02,56.045,15114,0
TRP.US,5,20260126,213000,56.05,56.13,56.05,56.12,14346,0
TRP.US,5,20260126,213500,56.12,56.1875,56.115,56.165,20461,0
TRP.US,5,20260126,214000,56.165,56.1799,56.145,56.16,15569,0
TRP.US,5,20260126,214500,56.16,56.195,56.155,56.185,11120,0
TRP.US,5,20260126,215000,56.18,56.25,56.14,56.245,34592,0
TRP.US,5,20260126,215500,56.245,56.335,56.21,56.32,363915,0
TRP.US,5,20260127,153000,56.64,56.78,56.46,56.65,55402,0
TRP.US,5,20260127,153500,56.65,57,56.61,56.89,38621,0
TRP.US,5,20260127,154000,56.89,56.99,56.88,56.98,15965,0
TRP.US,5,20260127,154500,56.975,57.05,56.86,56.885,20795,0
TRP.US,5,20260127,155000,56.8749,56.97,56.8749,56.945,13570,0
TRP.US,5,20260127,155500,56.96,57.05,56.92,56.99,11244,0
TRP.US,5,20260127,160000,56.985,57.055,56.981,56.991,6548,0
TRP.US,5,20260127,160500,56.985,57.09,56.985,57.075,12444,0
TRP.US,5,20260127,161000,57.075,57.075,56.9,56.94,12331,0
TRP.US,5,20260127,161500,56.94,56.94,56.75,56.755,8600,0
TRP.US,5,20260127,162000,56.755,56.763,56.64,56.695,8415,0
TRP.US,5,20260127,162500,56.71,56.7408,56.705,56.71,7966,0
TRP.US,5,20260127,163000,56.71,56.71,56.615,56.63,9528,0
TRP.US,5,20260127,163500,56.64,56.7,56.56,56.69,18209,0
TRP.US,5,20260127,164000,56.7,56.8,56.615,56.765,6612,0
TRP.US,5,20260127,164500,56.76,56.95,56.76,56.94,4683,0
TRP.US,5,20260127,165000,56.93,56.93,56.81,56.82,13659,0
TRP.US,5,20260127,165500,56.83,56.85,56.77,56.78,10982,0
