<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRTN_B.US,5,20260126,155000,25.3491,25.3491,25.3491,25.3491,300,0
TRTN_B.US,5,20260126,160000,25.32,25.32,25.32,25.32,115,0
TRTN_B.US,5,20260126,161000,25.32,25.3302,25.32,25.3302,1596,0
TRTN_B.US,5,20260126,162000,25.35,25.35,25.35,25.35,100,0
TRTN_B.US,5,20260126,165000,25.3,25.3,25.3,25.3,100,0
TRTN_B.US,5,20260126,170000,25.3,25.3001,25.3,25.3001,600,0
TRTN_B.US,5,20260126,173000,25.3,25.3,25.3,25.3,309,0
TRTN_B.US,5,20260126,175000,25.3174,25.3174,25.3174,25.3174,100,0
TRTN_B.US,5,20260126,175500,25.31,25.31,25.31,25.31,300,0
TRTN_B.US,5,20260126,180000,25.3,25.3,25.3,25.3,100,0
TRTN_B.US,5,20260126,191500,25.3,25.31,25.3,25.31,800,0
TRTN_B.US,5,20260126,192000,25.3,25.3001,25.3,25.3001,1000,0
TRTN_B.US,5,20260126,192500,25.3,25.3,25.3,25.3,800,0
TRTN_B.US,5,20260126,193000,25.3,25.3,25.3,25.3,800,0
TRTN_B.US,5,20260126,194000,25.307,25.307,25.307,25.307,1000,0
TRTN_B.US,5,20260126,195500,25.307,25.307,25.307,25.307,1000,0
TRTN_B.US,5,20260126,212000,25.305,25.305,25.305,25.305,1200,0
TRTN_B.US,5,20260127,155000,25.3399,25.3399,25.3399,25.3399,351,0
TRTN_B.US,5,20260127,163500,25.36,25.36,25.36,25.36,100,0
TRTN_B.US,5,20260127,175000,25.3288,25.3288,25.3288,25.3288,886,0
TRTN_B.US,5,20260127,180500,25.32,25.32,25.32,25.32,175,0
TRTN_B.US,5,20260127,191000,25.39,25.39,25.36,25.39,849,0
TRTN_B.US,5,20260127,194500,25.37,25.37,25.32,25.32,600,0
TRTN_B.US,5,20260127,200000,25.32,25.32,25.32,25.32,100,0
TRTN_B.US,5,20260127,202500,25.355,25.355,25.355,25.355,101,0
TRTN_B.US,5,20260127,213500,25.32,25.32,25.32,25.32,200,0
TRTN_B.US,5,20260127,215500,25.29,25.29,25.29,25.29,163,0
TRTN_B.US,5,20260129,181000,25.4486,25.4486,25.4486,25.4486,158,0
TRTN_B.US,5,20260129,181500,25.35,25.3501,25.3247,25.3247,1075,0
TRTN_B.US,5,20260129,182500,25.312,25.312,25.312,25.312,1400,0
TRTN_B.US,5,20260129,190500,25.3872,25.3872,25.3872,25.3872,600,0
TRTN_B.US,5,20260129,195500,25.36,25.39,25.36,25.39,400,0
TRTN_B.US,5,20260129,201500,25.3472,25.3472,25.3472,25.3472,800,0
TRTN_B.US,5,20260129,204500,25.29,25.29,25.29,25.29,100,0
TRTN_B.US,5,20260130,165000,25.38,25.45,25.37,25.45,1084,0
TRTN_B.US,5,20260130,173000,25.31,25.3508,25.3,25.3,1230,0
TRTN_B.US,5,20260130,182000,25.3092,25.3092,25.3092,25.3092,156,0
TRTN_B.US,5,20260130,185000,25.31,25.31,25.3066,25.3066,1803,0
TRTN_B.US,5,20260130,185500,25.31,25.31,25.3013,25.3013,3279,0
TRTN_B.US,5,20260130,194000,25.31,25.31,25.31,25.31,945,0
TRTN_B.US,5,20260130,195500,25.3002,25.3002,25.3002,25.3002,464,0
TRTN_B.US,5,20260130,200500,25.3,25.34,25.3,25.34,1270,0
TRTN_B.US,5,20260130,202500,25.34,25.359,25.34,25.34,1800,0
TRTN_B.US,5,20260202,155500,25.3375,25.3375,25.3375,25.3375,175,0
TRTN_B.US,5,20260202,165000,25.3869,25.3869,25.3869,25.3869,188,0
TRTN_B.US,5,20260202,170000,25.3598,25.3598,25.3598,25.3598,800,0
TRTN_B.US,5,20260202,172500,25.373,25.373,25.373,25.373,190,0
