<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSCV.US,5,20260127,204500,28.55,28.55,28.55,28.55,100,0
TSCV.US,5,20260202,211000,28.89,28.89,28.89,28.89,1000,0
TSCV.US,5,20260203,180500,28.8201,28.8201,28.82,28.82,300,0
TSCV.US,5,20260203,182500,28.74,28.74,28.74,28.74,200,0
TSCV.US,5,20260203,190500,28.69,28.69,28.69,28.69,100,0
TSCV.US,5,20260210,170000,29.76,29.76,29.7532,29.7532,320,0
TSCV.US,5,20260211,184000,29.74,29.74,29.74,29.74,300,0
TSCV.US,5,20260211,213500,29.585,29.585,29.585,29.585,220,0
TSCV.US,5,20260212,161500,29.7,29.7,29.7,29.7,100,0
TSCV.US,5,20260217,193000,29.15,29.15,29.1499,29.1499,626,0
TSCV.US,5,20260217,194000,29.18,29.18,29.1799,29.1799,276,0
TSCV.US,5,20260217,194500,29.2099,29.21,29.2099,29.21,748,0
TSCV.US,5,20260217,195500,29.23,29.23,29.215,29.2198,662,0
TSCV.US,5,20260217,213500,29.19,29.19,29.1866,29.1866,236,0
TSCV.US,5,20260217,215500,29.21,29.21,29.2099,29.2099,924,0
TSCV.US,5,20260218,194500,29.48,29.48,29.48,29.48,201,0
TSCV.US,5,20260218,200000,29.45,29.45,29.45,29.45,100,0
TSCV.US,5,20260218,213000,29.35,29.35,29.3398,29.3398,598,0
TSCV.US,5,20260219,161000,29.35,29.35,29.35,29.35,100,0
TSCV.US,5,20260219,192000,29.35,29.35,29.3499,29.3499,278,0
TSCV.US,5,20260219,202000,29.42,29.42,29.4098,29.4098,298,0
TSCV.US,5,20260219,204500,29.34,29.34,29.34,29.34,100,0
TSCV.US,5,20260219,211500,29.46,29.46,29.46,29.46,160,0
TSCV.US,5,20260219,214500,29.48,29.48,29.4698,29.4698,378,0
TSCV.US,5,20260220,155500,29.44,29.44,29.44,29.44,109,0
TSCV.US,5,20260220,161000,29.75,29.75,29.75,29.75,100,0
TSCV.US,5,20260220,194000,29.6,29.63,29.6,29.6196,2434,0
TSCV.US,5,20260220,194500,29.6911,29.6911,29.6911,29.6911,250,0
TSCV.US,5,20260220,201500,29.62,29.62,29.62,29.62,100,0
TSCV.US,5,20260220,202500,29.64,29.65,29.6331,29.64,1736,0
TSCV.US,5,20260220,205000,29.64,29.64,29.6399,29.6399,3344,0
TSCV.US,5,20260220,205500,29.63,29.63,29.6232,29.6232,200,0
TSCV.US,5,20260220,215000,29.66,29.66,29.66,29.66,100,0
TSCV.US,5,20260223,160500,29.2,29.2,29.18,29.18,1414,0
TSCV.US,5,20260224,154500,29.28,29.28,29.28,29.28,100,0
TSCV.US,5,20260225,204500,29.2299,29.23,29.2299,29.23,234,0
TSCV.US,5,20260225,205000,29.22,29.22,29.2199,29.2199,1228,0
TSCV.US,5,20260226,204000,29.465,29.47,29.465,29.4666,776,0
TSCV.US,5,20260226,205000,29.47,29.47,29.4699,29.4699,486,0
TSCV.US,5,20260226,213000,29.51,29.51,29.51,29.51,100,0
TSCV.US,5,20260226,215000,29.5,29.5,29.5,29.5,152,0
TSCV.US,5,20260227,213000,29.095,29.095,29.095,29.095,240,0
TSCV.US,5,20260303,171500,28.685,28.685,28.685,28.685,200,0
TSCV.US,5,20260303,180000,28.84,28.84,28.84,28.84,100,0
TSCV.US,5,20260303,195500,29.14,29.14,29.14,29.14,100,0
TSCV.US,5,20260303,200500,29.11,29.11,29.1099,29.1099,802,0
TSCV.US,5,20260303,204500,29.15,29.15,29.15,29.15,100,0
TSCV.US,5,20260305,153000,28.895,28.895,28.895,28.895,160,0
TSCV.US,5,20260306,170000,28.06,28.06,28.06,28.06,150,0
TSCV.US,5,20260309,170500,27.49,27.49,27.4895,27.4895,582,0
TSCV.US,5,20260309,171500,27.5,27.5,27.4999,27.4999,362,0
TSCV.US,5,20260309,182000,27.49,27.5,27.49,27.4901,500,0
TSCV.US,5,20260309,191500,27.55,27.55,27.55,27.55,707,0
TSCV.US,5,20260309,204000,28.05,28.05,28.0499,28.0499,200,0
TSCV.US,5,20260310,190000,28.13,28.13,28.13,28.13,100,0
TSCV.US,5,20260310,204000,27.87,27.87,27.8699,27.8699,750,0
TSCV.US,5,20260311,190500,27.57,27.57,27.5699,27.5699,840,0
TSCV.US,5,20260311,203000,27.665,27.67,27.665,27.6666,1218,0
TSCV.US,5,20260312,191500,27.54,27.54,27.54,27.54,100,0
TSCV.US,5,20260312,194000,27.45,27.45,27.44,27.45,1845,0
TSCV.US,5,20260313,175500,27.36,27.36,27.36,27.36,100,0
TSCV.US,5,20260316,204000,27.48,27.48,27.48,27.48,100,0
TSCV.US,5,20260317,163000,27.68,27.68,27.68,27.68,1000,0
TSCV.US,5,20260317,165000,27.63,27.63,27.63,27.63,108,0
TSCV.US,5,20260317,180000,27.66,27.66,27.66,27.66,108,0
TSCV.US,5,20260317,193500,27.6799,27.6799,27.6799,27.6799,132,0
TSCV.US,5,20260318,185500,27.52,27.54,27.52,27.5399,405,0
TSCV.US,5,20260318,193500,27.53,27.53,27.5299,27.5299,714,0
TSCV.US,5,20260319,170500,27.25,27.25,27.25,27.25,103,0
TSCV.US,5,20260319,194500,27.15,27.15,27.15,27.15,100,0
TSCV.US,5,20260320,194500,26.85,26.85,26.8499,26.8499,792,0
TSCV.US,5,20260320,195000,26.87,26.87,26.8699,26.8699,222,0
TSCV.US,5,20260320,195500,26.82,26.82,26.82,26.82,128,0
TSCV.US,5,20260320,200500,26.8499,26.85,26.8499,26.85,774,0
TSCV.US,5,20260320,201000,26.83,26.84,26.83,26.84,221,0
TSCV.US,5,20260323,190000,27.695,27.695,27.695,27.695,144,0
TSCV.US,5,20260324,191000,27.85,27.85,27.8499,27.8499,392,0
TSCV.US,5,20260324,191500,27.8499,27.85,27.8499,27.85,400,0
TSCV.US,5,20260324,195500,27.945,27.945,27.9399,27.94,820,0
TSCV.US,5,20260324,205500,27.82,27.82,27.82,27.82,100,0
TSCV.US,5,20260325,185000,28.06,28.06,28.06,28.06,100,0
TSCV.US,5,20260325,194000,28.06,28.06,28.05,28.05,200,0
TSCV.US,5,20260325,195500,28.05,28.05,28.05,28.05,100,0
TSCV.US,5,20260326,170000,28.09,28.09,28.0832,28.0832,210,0
TSCV.US,5,20260326,184000,27.91,27.91,27.91,27.91,244,0
TSCV.US,5,20260327,180500,27.75,27.75,27.75,27.75,250,0
TSCV.US,5,20260330,190000,27.535,27.535,27.535,27.535,109,0
TSCV.US,5,20260330,193000,27.39,27.39,27.3899,27.3899,816,0
TSCV.US,5,20260331,164000,27.61,27.61,27.61,27.61,109,0
TSCV.US,5,20260331,204500,27.88,27.88,27.8799,27.8799,644,0
TSCV.US,5,20260401,205500,28.25,28.25,28.2499,28.25,1000,0
TSCV.US,5,20260401,212500,28.31,28.31,28.31,28.31,109,0
TSCV.US,5,20260402,153000,27.95,27.95,27.95,27.95,176,0
TSCV.US,5,20260406,153000,28.24,28.24,28.24,28.24,196,0
TSCV.US,5,20260406,211000,28.4099,28.41,28.4099,28.4099,436,0
TSCV.US,5,20260406,211500,28.41,28.41,28.4099,28.4099,228,0
TSCV.US,5,20260408,181500,29.27,29.27,29.2699,29.2699,208,0
TSCV.US,5,20260408,182000,29.2799,29.28,29.2799,29.28,220,0
TSCV.US,5,20260409,203000,29.65,29.65,29.6499,29.6499,1518,0
TSCV.US,5,20260409,205500,29.64,29.64,29.64,29.64,169,0
TSCV.US,5,20260410,154500,29.58,29.58,29.58,29.58,100,0
TSCV.US,5,20260410,203000,29.63,29.63,29.6299,29.6299,200,0
TSCV.US,5,20260414,185000,30.2,30.2,30.2,30.2,153,0
TSCV.US,5,20260414,201500,30.25,30.25,30.25,30.25,100,0
TSCV.US,5,20260414,205000,30.25,30.25,30.25,30.25,187,0
TSCV.US,5,20260415,161500,29.97,29.97,29.97,29.97,334,0
TSCV.US,5,20260415,173000,29.97,29.97,29.96,29.96,1290,0
TSCV.US,5,20260415,203500,29.9704,29.9704,29.9704,29.9704,126,0
TSCV.US,5,20260416,180500,30.09,30.09,30.09,30.09,126,0
TSCV.US,5,20260417,210000,30.63,30.63,30.6299,30.6299,852,0
TSCV.US,5,20260417,210500,30.62,30.62,30.62,30.62,106,0
TSCV.US,5,20260417,214000,30.65,30.65,30.65,30.65,135,0
TSCV.US,5,20260421,195500,30.57,30.57,30.5699,30.5699,336,0
TSCV.US,5,20260421,200000,30.6,30.6,30.5932,30.5932,376,0
TSCV.US,5,20260421,200500,30.57,30.57,30.57,30.57,151,0
TSCV.US,5,20260421,214500,30.49,30.49,30.49,30.49,245,0
TSCV.US,5,20260422,184500,30.39,30.39,30.39,30.39,250,0
TSCV.US,5,20260423,170500,30.65,30.66,30.65,30.66,34496,0
TSCV.US,5,20260423,172000,30.64,30.64,30.64,30.64,2943,0
TSCV.US,5,20260423,172500,30.65,30.66,30.65,30.6599,3403,0
TSCV.US,5,20260423,193000,30.45,30.45,30.4499,30.4499,222,0
TSCV.US,5,20260423,202500,30.5432,30.55,30.5432,30.55,388,0
TSCV.US,5,20260423,205500,30.49,30.49,30.4899,30.4899,728,0
TSCV.US,5,20260423,211000,30.52,30.52,30.5199,30.5199,484,0
TSCV.US,5,20260424,205500,30.53,30.53,30.53,30.53,114,0
TSCV.US,5,20260424,215500,30.49,30.49,30.49,30.49,117,0
TSCV.US,5,20260427,160500,30.62,30.62,30.62,30.62,100,0
TSCV.US,5,20260427,200000,30.53,30.53,30.5232,30.5232,362,0
TSCV.US,5,20260427,205000,30.57,30.57,30.55,30.55,424,0
TSCV.US,5,20260428,170000,30.49,30.49,30.47,30.47,496,0
TSCV.US,5,20260428,185000,30.45,30.45,30.45,30.45,205,0
TSCV.US,5,20260428,190500,30.45,30.45,30.45,30.45,4000,0
TSCV.US,5,20260428,191000,30.45,30.45,30.45,30.45,8000,0
TSCV.US,5,20260428,191500,30.45,30.45,30.44,30.45,23000,0
TSCV.US,5,20260429,175000,30.2,30.2,30.2,30.2,145,0
TSCV.US,5,20260429,181500,30.18,30.18,30.18,30.18,100,0
TSCV.US,5,20260429,205000,30.06,30.06,30.06,30.06,133,0
TSCV.US,5,20260430,164000,30.4,30.4,30.4,30.4,100,0
TSCV.US,5,20260430,165000,30.42,30.42,30.42,30.42,100,0
TSCV.US,5,20260501,153500,30.69,30.69,30.69,30.69,652,0
TSCV.US,5,20260501,192000,30.64,30.65,30.64,30.6499,792,0
TSCV.US,5,20260501,200500,30.67,30.67,30.6699,30.67,3942,0
TSCV.US,5,20260501,202500,30.6484,30.6484,30.6484,30.6484,232,0
TSCV.US,5,20260501,204500,30.67,30.67,30.6699,30.6699,382,0
TSCV.US,5,20260504,184500,30.35,30.35,30.35,30.35,127,0
TSCV.US,5,20260507,210000,30.9399,30.94,30.925,30.9298,2008,0
TSCV.US,5,20260507,211500,30.95,30.95,30.95,30.95,270,0
TSCV.US,5,20260507,213000,30.875,30.875,30.875,30.875,107,0
TSCV.US,5,20260508,210500,30.91,30.91,30.9032,30.9032,1300,0
TSCV.US,5,20260511,183000,30.77,30.77,30.77,30.77,100,0
TSCV.US,5,20260511,184500,30.78,30.78,30.78,30.78,527,0
TSCV.US,5,20260511,202000,30.82,30.82,30.815,30.815,388,0
TSCV.US,5,20260511,212000,30.75,30.75,30.7499,30.7499,1000,0
TSCV.US,5,20260512,154000,30.41,30.41,30.41,30.41,100,0
TSCV.US,5,20260513,212500,30.24,30.24,30.24,30.24,140,0
TSCV.US,5,20260514,162000,30.44,30.44,30.44,30.44,100,0
TSCV.US,5,20260514,190500,30.45,30.45,30.45,30.45,100,0
TSCV.US,5,20260514,203000,30.42,30.42,30.415,30.415,970,0
TSCV.US,5,20260514,203500,30.41,30.41,30.41,30.41,100,0
TSCV.US,5,20260514,205500,30.39,30.39,30.3899,30.39,1428,0
TSCV.US,5,20260514,213500,30.37,30.37,30.3699,30.3699,736,0
TSCV.US,5,20260514,215000,30.34,30.34,30.3399,30.3399,338,0
TSCV.US,5,20260515,184500,29.82,29.82,29.82,29.82,152,0
TSCV.US,5,20260515,204500,29.78,29.78,29.7799,29.7799,200,0
TSCV.US,5,20260518,170000,30.13,30.13,30.13,30.13,100,0
TSCV.US,5,20260518,194500,29.97,29.97,29.97,29.97,301,0
TSCV.US,5,20260518,210000,30.05,30.05,30.05,30.05,100,0
TSCV.US,5,20260518,210500,30.005,30.005,30.005,30.005,124,0
TSCV.US,5,20260518,215000,29.9732,29.98,29.9732,29.98,278,0
TSCV.US,5,20260519,161000,29.58,29.58,29.58,29.58,100,0
TSCV.US,5,20260519,195000,29.7295,29.73,29.7295,29.73,202,0
TSCV.US,5,20260519,213000,29.68,29.68,29.68,29.68,185,0
TSCV.US,5,20260519,213500,29.68,29.68,29.68,29.68,370,0
TSCV.US,5,20260519,214500,29.66,29.66,29.66,29.66,100,0
TSCV.US,5,20260520,163500,30.1,30.1,30.1,30.1,100,0
TSCV.US,5,20260520,184000,30.16,30.16,30.16,30.16,651,0
TSCV.US,5,20260521,163500,30.27,30.27,30.27,30.27,100,0
TSCV.US,5,20260521,174500,30.16,30.16,30.16,30.16,100,0
TSCV.US,5,20260521,183500,30.09,30.09,30.0899,30.0899,364,0
TSCV.US,5,20260521,184500,30.13,30.13,30.13,30.13,111,0
TSCV.US,5,20260521,195500,30.35,30.35,30.35,30.35,100,0
TSCV.US,5,20260521,203500,30.44,30.44,30.44,30.44,247,0
TSCV.US,5,20260521,215000,30.33,30.33,30.33,30.33,100,0
TSCV.US,5,20260522,173000,30.45,30.45,30.45,30.45,100,0
TSCV.US,5,20260522,213000,30.53,30.53,30.515,30.515,590,0
TSCV.US,5,20260526,155500,30.93,30.93,30.93,30.93,100,0
TSCV.US,5,20260526,190500,30.845,30.845,30.845,30.845,325,0
TSCV.US,5,20260526,202000,30.91,30.91,30.91,30.91,200,0
TSCV.US,5,20260526,215500,30.92,30.92,30.92,30.92,100,0
TSCV.US,5,20260527,161000,30.98,30.98,30.98,30.98,100,0
TSCV.US,5,20260527,162000,31.02,31.02,31.02,31.02,100,0
TSCV.US,5,20260527,211000,30.78,30.78,30.78,30.78,183,0
TSCV.US,5,20260527,212000,30.76,30.76,30.76,30.76,193,0
