<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSXD.US,5,20260126,153000,14.91,14.91,14.91,14.91,1000,0
TSXD.US,5,20260126,161500,15.04,15.04,15.04,15.04,100,0
TSXD.US,5,20260126,180500,14.75,14.75,14.75,14.75,900,0
TSXD.US,5,20260127,161000,14.6,14.6,14.6,14.6,100,0
TSXD.US,5,20260127,211000,14.24,14.24,14.24,14.24,2000,0
TSXD.US,5,20260127,212500,14.2799,14.2799,14.2799,14.2799,500,0
TSXD.US,5,20260127,213000,14.2992,14.31,14.2992,14.3099,1100,0
TSXD.US,5,20260128,155500,14,14.07,14,14.07,1400,0
TSXD.US,5,20260128,160000,14.21,14.21,14.21,14.21,351,0
TSXD.US,5,20260128,160500,14.27,14.27,14.27,14.27,100,0
TSXD.US,5,20260128,161000,14.46,14.46,14.46,14.46,100,0
TSXD.US,5,20260128,165000,14.42,14.42,14.42,14.42,380,0
TSXD.US,5,20260128,182000,14.5,14.5,14.4999,14.4999,300,0
TSXD.US,5,20260128,182500,14.49,14.49,14.49,14.49,100,0
TSXD.US,5,20260128,194500,14.36,14.36,14.36,14.36,2000,0
TSXD.US,5,20260128,202000,14.72,14.72,14.72,14.72,100,0
TSXD.US,5,20260128,215500,14.33,14.33,14.33,14.33,115,0
TSXD.US,5,20260129,161000,14.46,14.46,14.46,14.46,100,0
TSXD.US,5,20260129,170500,15.19,15.19,15.19,15.19,100,0
TSXD.US,5,20260129,173500,14.8504,14.86,14.8504,14.86,300,0
TSXD.US,5,20260129,174000,14.83,14.83,14.83,14.83,283,0
TSXD.US,5,20260129,174500,14.77,14.77,14.77,14.77,100,0
TSXD.US,5,20260129,180000,14.64,14.64,14.64,14.64,100,0
TSXD.US,5,20260129,183500,14.47,14.47,14.47,14.47,345,0
TSXD.US,5,20260129,200000,14.355,14.355,14.355,14.355,100,0
TSXD.US,5,20260130,163000,14.6,14.6,14.6,14.6,200,0
TSXD.US,5,20260130,202000,14.76,14.76,14.76,14.76,100,0
TSXD.US,5,20260202,153000,14.96,14.96,14.96,14.96,133,0
TSXD.US,5,20260202,154000,14.829,14.829,14.829,14.829,200,0
TSXD.US,5,20260202,161000,14.55,14.55,14.55,14.55,100,0
TSXD.US,5,20260202,172000,14.4697,14.4697,14.46,14.46,400,0
TSXD.US,5,20260202,181000,14.34,14.34,14.34,14.34,100,0
TSXD.US,5,20260202,200500,14.31,14.32,14.31,14.32,340,0
TSXD.US,5,20260203,160000,15.3,15.3,15.3,15.3,326,0
TSXD.US,5,20260203,161000,15.1,15.1,15.1,15.1,100,0
TSXD.US,5,20260203,165500,15.18,15.18,15.15,15.15,600,0
TSXD.US,5,20260203,170000,14.98,14.98,14.98,14.98,100,0
TSXD.US,5,20260203,171500,15.27,15.27,15.27,15.27,158,0
TSXD.US,5,20260203,180000,14.95,14.95,14.95,14.95,100,0
TSXD.US,5,20260203,200000,15.86,15.86,15.86,15.86,100,0
TSXD.US,5,20260203,200500,15.87,15.87,15.87,15.87,700,0
