<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TT.US,5,20260126,153000,386.899,386.899,384,384.9,10256,0
TT.US,5,20260126,153500,385.265,387,384.35,385.485,26941,0
TT.US,5,20260126,154000,385.02,387.735,385.02,387.645,28958,0
TT.US,5,20260126,154500,387.99,389.53,387.99,388.285,13367,0
TT.US,5,20260126,155000,388.45,389.88,388.27,389.4,17671,0
TT.US,5,20260126,155500,389.16,389.8,388.69,389.01,10883,0
TT.US,5,20260126,160000,389.47,389.72,388.81,389.27,9084,0
TT.US,5,20260126,160500,389.27,389.48,388.63,388.9699,14567,0
TT.US,5,20260126,161000,388.79,389.7899,388.77,389.52,13697,0
TT.US,5,20260126,161500,389.79,390.13,389.34,389.965,8683,0
TT.US,5,20260126,162000,389.8,389.965,389.49,389.72,6001,0
TT.US,5,20260126,162500,389.665,389.82,389.12,389.78,9687,0
TT.US,5,20260126,163000,389.685,390.36,388.9,390.1575,18720,0
TT.US,5,20260126,163500,390.155,390.21,389.55,389.86,20023,0
TT.US,5,20260126,164000,389.53,390.27,389.53,390.24,10859,0
TT.US,5,20260126,164500,390.32,390.786,390.32,390.33,5242,0
TT.US,5,20260126,165000,390.42,390.84,390.42,390.835,4873,0
TT.US,5,20260126,165500,390.93,391,390.42,390.575,11253,0
TT.US,5,20260126,170000,390.53,390.845,390.34,390.37,7766,0
TT.US,5,20260126,170500,390.385,390.67,390.025,390.28,17857,0
TT.US,5,20260126,171000,390.24,390.43,390.06,390.18,2636,0
TT.US,5,20260126,171500,390.275,390.54,389.9201,390.48,4471,0
TT.US,5,20260126,172000,390.45,390.98,390.42,390.63,7223,0
TT.US,5,20260126,172500,390.63,390.93,390.5652,390.63,4800,0
TT.US,5,20260126,173000,390.82,391.06,390.7001,391.01,3251,0
TT.US,5,20260126,173500,390.99,391.4,390.96,390.96,6360,0
TT.US,5,20260126,174000,391.02,391.45,390.84,391.0675,12515,0
TT.US,5,20260126,174500,391.02,391.2,390.64,390.81,20452,0
TT.US,5,20260126,175000,390.85,390.895,390.69,390.82,3200,0
TT.US,5,20260126,175500,390.75,390.83,390.58,390.72,16343,0
TT.US,5,20260126,180000,390.64,391.06,390.6,391.015,9202,0
TT.US,5,20260126,180500,391.06,391.11,390.885,390.97,3894,0
TT.US,5,20260126,181000,390.88,391.295,390.88,391.27,6816,0
TT.US,5,20260126,181500,391.22,391.29,390.9985,391.095,5147,0
TT.US,5,20260126,182000,391.0875,391.38,391.0875,391.265,4227,0
TT.US,5,20260126,182500,391.22,391.53,391.2,391.45,5703,0
TT.US,5,20260126,183000,391.53,392.02,391.53,391.785,23406,0
TT.US,5,20260126,183500,391.73,391.88,391.68,391.73,8245,0
TT.US,5,20260126,184000,391.73,391.9,391.68,391.77,12194,0
TT.US,5,20260126,184500,391.86,391.87,391.35,391.6899,15491,0
TT.US,5,20260126,185000,391.61,391.66,391.48,391.51,6295,0
TT.US,5,20260126,185500,391.5464,391.59,391.4001,391.475,8324,0
TT.US,5,20260126,190000,391.475,391.78,391.41,391.7758,8372,0
TT.US,5,20260126,190500,391.5423,391.88,391.5423,391.695,18152,0
TT.US,5,20260126,191000,391.6175,392.22,391.6175,392.0088,4395,0
TT.US,5,20260126,191500,392.1,392.24,391.805,392.24,5993,0
TT.US,5,20260126,192000,392.125,392.34,392.01,392.34,4306,0
TT.US,5,20260126,192500,392.1701,392.4431,392.1701,392.33,7663,0
TT.US,5,20260126,193000,392.42,392.89,392.42,392.89,16035,0
TT.US,5,20260126,193500,392.84,393.3,392.84,393.2124,6937,0
TT.US,5,20260126,194000,393.27,393.65,393,393.2,6400,0
TT.US,5,20260126,194500,393.13,393.31,392.94,393.11,13728,0
TT.US,5,20260126,195000,392.95,393.23,392.91,393.23,13921,0
TT.US,5,20260126,195500,393.1776,393.2562,392.95,393.16,4899,0
TT.US,5,20260126,200000,393.14,393.4,393.05,393.29,22027,0
TT.US,5,20260126,200500,393.25,393.82,393.25,393.63,14098,0
TT.US,5,20260126,201000,393.68,394.22,393.4,393.56,59362,0
TT.US,5,20260126,201500,393.595,393.6,392.21,393.345,56474,0
TT.US,5,20260126,202000,393.345,393.565,392.815,393.03,16423,0
TT.US,5,20260126,202500,392.91,394.22,392.91,394.22,21274,0
TT.US,5,20260126,203000,394.1845,394.82,393.895,394.13,19274,0
TT.US,5,20260126,203500,394.1,394.24,393.78,393.955,6668,0
TT.US,5,20260126,204000,393.955,394.355,393.955,394.15,9694,0
TT.US,5,20260126,204500,394.15,394.64,394.15,394.59,20596,0
TT.US,5,20260126,205000,394.585,394.595,393.63,393.85,18209,0
TT.US,5,20260126,205500,393.825,394.07,393.54,394.07,16906,0
TT.US,5,20260126,210000,394,394.26,393.915,394.065,5951,0
TT.US,5,20260126,210500,394.11,394.6,394.01,394.57,7843,0
TT.US,5,20260126,211000,394.57,395.06,394.53,395.06,19528,0
TT.US,5,20260126,211500,395.0687,395.0687,394.49,394.59,12941,0
TT.US,5,20260126,212000,394.53,394.9,394.49,394.9,11352,0
TT.US,5,20260126,212500,394.845,395.72,394.84,395.21,25549,0
TT.US,5,20260126,213000,395.19,395.29,394.86,395.09,27615,0
TT.US,5,20260126,213500,395.09,395.29,394.53,394.85,20029,0
TT.US,5,20260126,214000,394.72,394.83,394.41,394.76,14641,0
TT.US,5,20260126,214500,394.82,395.38,394.61,395.105,27660,0
TT.US,5,20260126,215000,394.98,395.44,394.85,394.89,34341,0
TT.US,5,20260126,215500,394.84,394.95,394.11,394.16,406882,0
TT.US,5,20260127,153000,394.01,397.785,391.62,393.635,12755,0
TT.US,5,20260127,153500,393.635,394.46,392.9891,393.2,5010,0
TT.US,5,20260127,154000,393.925,394.16,392.47,393.43,11788,0
TT.US,5,20260127,154500,393.73,394.5592,393.295,394.015,8877,0
TT.US,5,20260127,155000,394.01,396.07,394.01,395.93,15095,0
TT.US,5,20260127,155500,395.93,395.965,395.14,395.685,13045,0
TT.US,5,20260127,160000,395.46,396.6,395.12,395.525,16282,0
TT.US,5,20260127,160500,395.525,395.88,394.995,395.695,11735,0
TT.US,5,20260127,161000,395.665,395.95,394.95,395.26,12529,0
TT.US,5,20260127,161500,395.51,395.88,395.39,395.575,8297,0
TT.US,5,20260127,162000,395.565,396.36,395.4,396.085,11434,0
TT.US,5,20260127,162500,396.085,396.085,394.65,395.19,21571,0
TT.US,5,20260127,163000,395.32,395.875,394.7,395.1925,9426,0
TT.US,5,20260127,163500,395.35,395.535,394.7,394.7,8706,0
TT.US,5,20260127,164000,394.59,395.12,394.44,394.6714,5955,0
TT.US,5,20260127,164500,394.74,394.9,393.78,394.005,4818,0
TT.US,5,20260127,165000,393.62,393.81,393.24,393.37,5055,0
TT.US,5,20260127,165500,393.28,393.42,393.07,393.115,7054,0
TT.US,5,20260127,170000,393.17,393.41,392.595,392.72,16982,0
TT.US,5,20260127,170500,392.81,393.59,392.41,393.555,50408,0
TT.US,5,20260127,171000,393.65,394,393.215,393.79,107168,0
TT.US,5,20260127,171500,393.735,394.2,393.59,394.055,13236,0
TT.US,5,20260127,172000,394.035,394.17,393.72,393.885,3259,0
TT.US,5,20260127,172500,394.01,394.27,393.78,394.23,9887,0
TT.US,5,20260127,173000,394.145,394.22,394,394.06,4511,0
TT.US,5,20260127,173500,394.16,394.74,394.095,394.515,8422,0
TT.US,5,20260127,174000,394.65,395.055,394.515,394.88,4424,0
TT.US,5,20260127,174500,394.875,395.01,394.78,394.995,7038,0
TT.US,5,20260127,175000,394.96,395.08,394.46,394.855,11060,0
TT.US,5,20260127,175500,394.93,395.06,394.78,395.005,4909,0
TT.US,5,20260127,180000,394.95,395.15,394.7801,394.99,3531,0
TT.US,5,20260127,180500,395.09,395.67,394.975,395.53,10844,0
TT.US,5,20260127,181000,395.63,396.07,395.515,396,5722,0
TT.US,5,20260127,181500,395.91,396.02,395.66,395.72,6132,0
TT.US,5,20260127,182000,395.75,396.495,395.68,396.37,6520,0
TT.US,5,20260127,182500,396.49,397.115,396.49,396.63,5704,0
TT.US,5,20260127,183000,396.6,396.69,396.21,396.285,3717,0
TT.US,5,20260127,183500,396.3115,396.3115,396.0601,396.15,4370,0
TT.US,5,20260127,184000,396.15,396.26,395.85,395.915,19707,0
TT.US,5,20260127,184500,395.96,396.07,395.49,395.505,3446,0
TT.US,5,20260127,185000,395.505,395.58,395.11,395.11,4738,0
TT.US,5,20260127,185500,395.1525,395.155,394.76,394.83,2294,0
TT.US,5,20260127,190000,394.82,394.85105,394.37,394.42,2968,0
TT.US,5,20260127,190500,394.365,394.38,394.01,394.095,4215,0
TT.US,5,20260127,191000,394.0155,394.03,393.06,393.21,66013,0
TT.US,5,20260127,191500,393.47,393.86,393.05,393.25,7633,0
