<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TTAM.US,5,20260126,153000,17.865,17.865,17.8,17.8,497,0
TTAM.US,5,20260126,154000,17.99,18.06,17.985,18.06,690,0
TTAM.US,5,20260126,154500,18.08,18.25,18.08,18.22,12564,0
TTAM.US,5,20260126,155000,18.21,18.28,17.96,18.015,19322,0
TTAM.US,5,20260126,155500,18.02,18.02,18.02,18.02,1920,0
TTAM.US,5,20260126,160000,18.02,18.11,18.02,18.02,9309,0
TTAM.US,5,20260126,160500,18.02,18.12,17.91,17.91,5381,0
TTAM.US,5,20260126,161000,17.98,18.04,17.91,18.04,1598,0
TTAM.US,5,20260126,161500,18,18.13,17.985,18.08,7473,0
TTAM.US,5,20260126,162000,18.105,18.105,18.04,18.0799,1547,0
TTAM.US,5,20260126,162500,18.0301,18.08,18.03,18.03,3266,0
TTAM.US,5,20260126,163000,18.03,18.03,17.96,17.995,6769,0
TTAM.US,5,20260126,163500,17.97,18.08,17.97,18.065,6333,0
TTAM.US,5,20260126,164000,18.085,18.155,18.08,18.125,8777,0
TTAM.US,5,20260126,164500,18.13,18.135,18.13,18.135,2589,0
TTAM.US,5,20260126,165000,18.15,18.19,18.1,18.18,7556,0
TTAM.US,5,20260126,165500,18.21,18.21,18.11,18.11,6863,0
TTAM.US,5,20260126,170000,18.1,18.1,18.08,18.09,2257,0
TTAM.US,5,20260126,170500,18.1,18.13,18.08,18.08,7701,0
TTAM.US,5,20260126,171000,18.08,18.08,18.055,18.055,950,0
TTAM.US,5,20260126,171500,18.065,18.09,18.05,18.09,3630,0
TTAM.US,5,20260126,172000,18.09,18.09,17.99,18.055,7722,0
TTAM.US,5,20260126,172500,18.07,18.11,18.06,18.085,5000,0
TTAM.US,5,20260126,173000,18.0932,18.105,18.06,18.07,3898,0
TTAM.US,5,20260126,173500,18.07,18.07,18.02,18.02,1251,0
TTAM.US,5,20260126,174000,18.03,18.05,18.03,18.045,1216,0
TTAM.US,5,20260126,174500,18.045,18.14,18.045,18.11,8485,0
TTAM.US,5,20260126,175000,18.11,18.15,18.11,18.15,2238,0
TTAM.US,5,20260126,175500,18.135,18.22,18.135,18.1895,5592,0
TTAM.US,5,20260126,180000,18.19,18.33,18.19,18.325,6658,0
TTAM.US,5,20260126,180500,18.35,18.4,18.3,18.31,5236,0
TTAM.US,5,20260126,181000,18.33,18.33,18.27,18.3068,2030,0
TTAM.US,5,20260126,181500,18.32,18.34,18.32,18.34,2504,0
TTAM.US,5,20260126,182000,18.34,18.385,18.33,18.375,5756,0
TTAM.US,5,20260126,182500,18.375,18.42,18.35,18.36,3489,0
TTAM.US,5,20260126,183000,18.38,18.395,18.36,18.36,3012,0
TTAM.US,5,20260126,183500,18.37,18.49,18.37,18.49,2359,0
TTAM.US,5,20260126,184000,18.47,18.49,18.42,18.425,4682,0
TTAM.US,5,20260126,184500,18.43,18.4394,18.38,18.39,7468,0
TTAM.US,5,20260126,185000,18.38,18.4,18.37,18.38,23181,0
TTAM.US,5,20260126,185500,18.39,18.39,18.37,18.39,8471,0
TTAM.US,5,20260126,190000,18.39,18.55,18.38,18.44,14251,0
TTAM.US,5,20260126,190500,18.44,18.44,18.4,18.41,1430,0
TTAM.US,5,20260126,191000,18.45,18.49,18.41,18.41,3819,0
TTAM.US,5,20260126,191500,18.45,18.47,18.42,18.43,3877,0
TTAM.US,5,20260126,192000,18.42,18.48,18.41,18.455,5100,0
TTAM.US,5,20260126,192500,18.48,18.57,18.47,18.49,21414,0
TTAM.US,5,20260126,193000,18.48,18.48,18.42,18.42,3201,0
TTAM.US,5,20260126,193500,18.41,18.46,18.41,18.4247,5089,0
TTAM.US,5,20260126,194000,18.44,18.54,18.42,18.48,10880,0
TTAM.US,5,20260126,194500,18.46,18.47,18.352,18.38,20845,0
TTAM.US,5,20260126,195000,18.4,18.415,18.35,18.35,3528,0
TTAM.US,5,20260126,195500,18.31,18.37,18.3,18.36,2785,0
TTAM.US,5,20260126,200000,18.38,18.405,18.36,18.385,3431,0
TTAM.US,5,20260126,200500,18.4,18.4,18.35,18.35,5461,0
TTAM.US,5,20260126,201000,18.35,18.35,18.33,18.35,2210,0
TTAM.US,5,20260126,201500,18.365,18.41,18.34,18.34,8961,0
TTAM.US,5,20260126,202000,18.34,18.35,18.29,18.305,3812,0
TTAM.US,5,20260126,202500,18.29,18.31,18.27,18.285,2749,0
TTAM.US,5,20260126,203000,18.285,18.35,18.285,18.35,4277,0
TTAM.US,5,20260126,203500,18.35,18.35,18.27,18.27,5461,0
TTAM.US,5,20260126,204000,18.28,18.28,18.24,18.25,2139,0
TTAM.US,5,20260126,204500,18.23,18.27,18.23,18.27,2980,0
TTAM.US,5,20260126,205000,18.255,18.29,18.255,18.29,5577,0
TTAM.US,5,20260126,205500,18.28,18.3,18.26,18.26,5119,0
TTAM.US,5,20260126,210000,18.26,18.29,18.22,18.24,5613,0
TTAM.US,5,20260126,210500,18.25,18.25,18.21,18.225,3082,0
TTAM.US,5,20260126,211000,18.225,18.24,18.21,18.24,3593,0
TTAM.US,5,20260126,211500,18.22,18.245,18.18,18.18,5741,0
TTAM.US,5,20260126,212000,18.19,18.205,18.18,18.19,1261,0
TTAM.US,5,20260126,212500,18.19,18.22,18.16,18.17,6113,0
TTAM.US,5,20260126,213000,18.16,18.27,18.16,18.21,11904,0
TTAM.US,5,20260126,213500,18.21,18.24,18.17,18.2,8979,0
