<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UE.US,5,20260126,154000,19.14,19.21,19.14,19.21,2940,0
UE.US,5,20260126,154500,19.19,19.2,19.19,19.2,200,0
UE.US,5,20260126,155000,19.21,19.21,19.21,19.21,100,0
UE.US,5,20260126,155500,19.165,19.18,19.155,19.18,666,0
UE.US,5,20260126,160000,19.19,19.19,19.19,19.19,200,0
UE.US,5,20260126,160500,19.165,19.165,19.125,19.125,629,0
UE.US,5,20260126,161000,19.13,19.15,19.125,19.125,3514,0
UE.US,5,20260126,161500,19.11,19.15,19.1,19.15,4537,0
UE.US,5,20260126,162000,19.145,19.155,19.145,19.15,1177,0
UE.US,5,20260126,162500,19.15,19.15,19.08,19.09,4256,0
UE.US,5,20260126,163000,19.09,19.14,19.09,19.14,1747,0
UE.US,5,20260126,163500,19.12,19.12,19.09,19.09,1100,0
UE.US,5,20260126,164000,19.095,19.1,19.08,19.08,1219,0
UE.US,5,20260126,164500,19.08,19.1,19.07,19.07,1705,0
UE.US,5,20260126,165000,19.0609,19.085,19.05,19.06,5718,0
UE.US,5,20260126,165500,19.06,19.06,19.04,19.04,1528,0
UE.US,5,20260126,170000,19.03,19.03,19,19.01,5228,0
UE.US,5,20260126,170500,19.005,19.005,18.97,18.97,2239,0
UE.US,5,20260126,171000,18.96,18.965,18.94,18.95,3848,0
UE.US,5,20260126,171500,18.95,18.975,18.945,18.945,4872,0
UE.US,5,20260126,172000,18.945,18.965,18.945,18.965,947,0
UE.US,5,20260126,172500,18.965,18.975,18.965,18.975,1624,0
UE.US,5,20260126,173000,18.975,18.985,18.965,18.985,3407,0
UE.US,5,20260126,173500,18.98,18.985,18.965,18.98,3482,0
UE.US,5,20260126,174000,18.98,18.98,18.955,18.955,1500,0
UE.US,5,20260126,174500,18.95,18.98,18.945,18.96,5739,0
UE.US,5,20260126,175000,18.955,18.98,18.955,18.975,1552,0
UE.US,5,20260126,175500,18.97,18.97,18.94,18.94,4275,0
UE.US,5,20260126,180000,18.94,18.94,18.93,18.93,726,0
UE.US,5,20260126,180500,18.925,18.95,18.925,18.93,4204,0
UE.US,5,20260126,181000,18.92,18.92,18.91,18.91,3143,0
UE.US,5,20260126,181500,18.91,18.92,18.905,18.905,2053,0
UE.US,5,20260126,182000,18.9,18.905,18.88,18.89,6224,0
UE.US,5,20260126,182500,18.895,18.9,18.895,18.895,1475,0
UE.US,5,20260126,183000,18.895,18.895,18.88,18.88,2295,0
UE.US,5,20260126,183500,18.885,18.905,18.885,18.895,3859,0
UE.US,5,20260126,184000,18.9,18.92,18.895,18.91,2452,0
UE.US,5,20260126,184500,18.91,18.91,18.91,18.91,1102,0
UE.US,5,20260126,185000,18.91,18.935,18.89,18.93,6052,0
UE.US,5,20260126,185500,18.93,18.94,18.93,18.935,1886,0
UE.US,5,20260126,190000,18.93,18.94,18.92,18.94,5408,0
UE.US,5,20260126,190500,18.94,18.96,18.94,18.96,1988,0
UE.US,5,20260126,191000,18.96,18.96,18.95,18.95,821,0
UE.US,5,20260126,191500,18.955,18.955,18.955,18.955,1009,0
UE.US,5,20260126,192000,18.96,18.99,18.955,18.99,4272,0
UE.US,5,20260126,192500,18.99,19,18.975,18.975,4610,0
UE.US,5,20260126,193000,18.97,18.97,18.965,18.965,2110,0
UE.US,5,20260126,193500,18.965,18.97,18.93,18.93,5160,0
UE.US,5,20260126,194000,18.92,18.94,18.92,18.925,1984,0
UE.US,5,20260126,194500,18.925,18.945,18.925,18.94,2656,0
UE.US,5,20260126,195000,18.945,18.9458,18.945,18.945,2196,0
UE.US,5,20260126,195500,18.94,18.945,18.935,18.945,1993,0
UE.US,5,20260126,200000,18.941,18.975,18.91,18.975,18110,0
UE.US,5,20260126,200500,18.985,18.995,18.975,18.98,4210,0
