<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNHU.US,5,20260325,173000,24.35,24.35,24.35,24.35,100,0
UNHU.US,5,20260326,174000,24.55,24.55,24.55,24.55,100,0
UNHU.US,5,20260326,191000,24.2,24.2,24.2,24.2,100,0
UNHU.US,5,20260326,192500,24.22,24.22,24.22,24.22,450,0
UNHU.US,5,20260326,201000,24.21,24.21,24.21,24.21,100,0
UNHU.US,5,20260326,203000,24.2,24.2,24.2,24.2,150,0
UNHU.US,5,20260326,205500,24.1,24.1,24.1,24.1,200,0
UNHU.US,5,20260327,143500,23.98,23.98,23.95,23.95,600,0
UNHU.US,5,20260327,155000,23.33,23.33,23.33,23.33,200,0
UNHU.US,5,20260327,164000,22.85,22.85,22.85,22.85,100,0
UNHU.US,5,20260327,175000,22.34,22.34,22.34,22.34,400,0
UNHU.US,5,20260327,182500,22.15,22.15,22.15,22.15,400,0
UNHU.US,5,20260327,194000,22.62,22.62,22.62,22.62,200,0
UNHU.US,5,20260327,200000,22.38,22.38,22.38,22.38,300,0
UNHU.US,5,20260327,205000,22.275,22.275,22.275,22.275,250,0
UNHU.US,5,20260330,153500,22.65,22.65,22.65,22.65,200,0
UNHU.US,5,20260330,154500,22.44,22.4726,22.41,22.4726,858,0
UNHU.US,5,20260330,155500,22.3,22.3,22.3,22.3,100,0
UNHU.US,5,20260330,161000,22.36,22.36,22.36,22.36,100,0
UNHU.US,5,20260330,173500,22.7299,22.7299,22.7299,22.7299,134,0
UNHU.US,5,20260330,182000,22.79,22.79,22.79,22.79,100,0
UNHU.US,5,20260330,182500,22.94,22.94,22.94,22.94,700,0
UNHU.US,5,20260330,204000,22.98,23,22.895,23,700,0
UNHU.US,5,20260330,204500,22.965,23.01,22.965,22.965,2060,0
UNHU.US,5,20260330,205000,23.02,23.725,23.02,23.0399,700,0
UNHU.US,5,20260330,205500,23.04,23.04,23.04,23.04,100,0
UNHU.US,5,20260331,163500,23.825,23.87,23.825,23.87,3500,0
UNHU.US,5,20260331,170000,23.86,23.86,23.86,23.86,1000,0
UNHU.US,5,20260331,184500,24.48,24.48,24.48,24.48,419,0
UNHU.US,5,20260331,185000,24.22,24.48,24.22,24.48,1612,0
UNHU.US,5,20260331,190500,24.47,24.47,24.47,24.47,100,0
UNHU.US,5,20260331,192000,24.63,24.63,24.63,24.63,100,0
UNHU.US,5,20260331,214000,24.56,24.56,24.56,24.56,100,0
UNHU.US,5,20260331,214500,24.64,24.64,24.64,24.64,800,0
UNHU.US,5,20260331,215000,24.54,24.54,24.53,24.53,200,0
UNHU.US,5,20260331,215500,24.52,24.52,24.52,24.52,200,0
UNHU.US,5,20260401,153000,25,25,25,25,100,0
UNHU.US,5,20260401,154000,24.86,24.86,24.86,24.86,100,0
UNHU.US,5,20260401,154500,24.76,24.76,24.76,24.76,100,0
UNHU.US,5,20260401,160000,24.88,24.88,24.88,24.88,100,0
UNHU.US,5,20260401,161000,24.69,24.69,24.69,24.69,100,0
UNHU.US,5,20260401,174000,25.16,25.16,25.16,25.16,185,0
UNHU.US,5,20260401,175500,25.24,25.24,25.24,25.24,100,0
UNHU.US,5,20260401,180500,25.125,25.125,25.125,25.125,336,0
UNHU.US,5,20260401,181000,25.1,25.1,25.1,25.1,100,0
UNHU.US,5,20260401,184000,25.04,25.04,25.04,25.04,500,0
UNHU.US,5,20260401,184500,25,25,25,25,500,0
UNHU.US,5,20260401,201500,25.05,25.05,25.05,25.05,500,0
UNHU.US,5,20260401,203500,24.95,24.95,24.95,24.95,500,0
UNHU.US,5,20260401,204000,25.16,25.16,25.16,25.16,100,0
UNHU.US,5,20260401,204500,25.2799,25.2799,25.21,25.21,300,0
UNHU.US,5,20260401,214500,25.111,25.111,25.11,25.11,1000,0
UNHU.US,5,20260401,215500,25,25,25,25,225,0
UNHU.US,5,20260402,153000,24.8799,24.88,24.8799,24.88,300,0
UNHU.US,5,20260402,153500,24.88,24.88,24.88,24.88,100,0
UNHU.US,5,20260402,161500,25.19,25.19,25.19,25.19,100,0
UNHU.US,5,20260402,183000,25.69,25.69,25.69,25.69,317,0
UNHU.US,5,20260402,212000,25.55,25.5619,25.55,25.5619,200,0
UNHU.US,5,20260402,215500,25.76,25.76,25.76,25.76,100,0
UNHU.US,5,20260406,162000,26.75,26.75,26.75,26.75,200,0
UNHU.US,5,20260406,162500,26.79,26.79,26.79,26.79,100,0
UNHU.US,5,20260406,180000,26.59,26.59,26.59,26.59,100,0
UNHU.US,5,20260407,153000,32.22,32.22,31.1752,31.1752,495,0
UNHU.US,5,20260407,154500,30.61,30.61,30.61,30.61,100,0
UNHU.US,5,20260407,155000,30.74,30.84,30.74,30.84,200,0
UNHU.US,5,20260407,155500,30.73,30.73,30.73,30.73,200,0
UNHU.US,5,20260407,160000,30.26,30.36,30.26,30.36,200,0
UNHU.US,5,20260407,160500,30.48,30.48,30.48,30.48,100,0
UNHU.US,5,20260407,161000,30.39,30.39,30.39,30.39,100,0
UNHU.US,5,20260407,162000,30.5893,30.5893,30.58,30.58,1100,0
UNHU.US,5,20260407,162500,30.78,30.78,30.78,30.78,100,0
UNHU.US,5,20260407,164000,30.955,30.96,30.955,30.96,450,0
UNHU.US,5,20260407,170000,31.08,31.08,31.08,31.08,200,0
UNHU.US,5,20260407,172500,31.009,31.009,31.009,31.009,503,0
UNHU.US,5,20260407,173000,31.12,31.12,31.12,31.12,602,0
UNHU.US,5,20260407,174000,31.2,31.2,31.2,31.2,134,0
UNHU.US,5,20260407,175000,31.36,31.36,31.36,31.36,202,0
UNHU.US,5,20260407,175500,31.4,31.4,31.385,31.385,1978,0
UNHU.US,5,20260407,181000,31.91,31.91,31.91,31.91,300,0
