<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USAC.US,5,20260126,153000,24.62,24.75,24.55,24.55,3441,0
USAC.US,5,20260126,153500,24.54,24.595,24.54,24.55,2462,0
USAC.US,5,20260126,154000,24.66,24.7094,24.66,24.7094,1100,0
USAC.US,5,20260126,154500,24.7261,24.7261,24.625,24.7172,4520,0
USAC.US,5,20260126,155000,24.74,24.74,24.5801,24.685,1250,0
USAC.US,5,20260126,155500,24.595,24.6,24.4,24.4851,14311,0
USAC.US,5,20260126,160500,24.435,24.435,24.4,24.4,975,0
USAC.US,5,20260126,161000,24.42,24.47,24.32,24.32,40724,0
USAC.US,5,20260126,161500,24.46,24.47,24.46,24.47,500,0
USAC.US,5,20260126,162000,24.36,24.47,24.36,24.47,1100,0
USAC.US,5,20260126,163000,24.475,24.4875,24.475,24.475,780,0
USAC.US,5,20260126,163500,24.475,24.475,24.475,24.475,200,0
USAC.US,5,20260126,164000,24.475,24.475,24.475,24.475,406,0
USAC.US,5,20260126,164500,24.4262,24.45,24.4262,24.45,415,0
USAC.US,5,20260126,165000,24.446,24.446,24.446,24.446,500,0
USAC.US,5,20260126,165500,24.446,24.446,24.446,24.446,416,0
USAC.US,5,20260126,170000,24.41,24.41,24.4,24.4,300,0
USAC.US,5,20260126,170500,24.4,24.4,24.4,24.4,310,0
USAC.US,5,20260126,171500,24.42,24.42,24.42,24.42,500,0
USAC.US,5,20260126,172000,24.42,24.495,24.42,24.495,1056,0
USAC.US,5,20260126,172500,24.57,24.57,24.56,24.56,1800,0
USAC.US,5,20260126,173000,24.62,24.7399,24.59,24.645,3532,0
USAC.US,5,20260126,173500,24.64,24.64,24.63,24.63,500,0
USAC.US,5,20260126,174000,24.6368,24.67,24.6368,24.67,1475,0
USAC.US,5,20260126,174500,24.62,24.62,24.5966,24.5966,1600,0
USAC.US,5,20260126,175000,24.655,24.7,24.6,24.61,2530,0
USAC.US,5,20260126,175500,24.575,24.72,24.575,24.72,200,0
USAC.US,5,20260126,180000,24.6616,24.6616,24.6616,24.6616,1680,0
USAC.US,5,20260126,180500,24.6152,24.6152,24.6152,24.6152,2580,0
USAC.US,5,20260126,181500,24.72,24.72,24.72,24.72,100,0
USAC.US,5,20260126,182000,24.73,24.73,24.73,24.73,200,0
USAC.US,5,20260126,182500,24.65,24.65,24.65,24.65,272,0
USAC.US,5,20260126,183000,24.78,24.79,24.7,24.79,12927,0
USAC.US,5,20260126,183500,24.79,24.81,24.78,24.78,500,0
USAC.US,5,20260126,184000,24.815,24.815,24.74,24.78,1804,0
USAC.US,5,20260126,184500,24.79,24.79,24.79,24.79,199,0
USAC.US,5,20260126,185000,24.78,24.79,24.78,24.79,279,0
USAC.US,5,20260126,185500,24.8,24.8,24.75,24.75,725,0
USAC.US,5,20260126,190500,24.78,24.785,24.73,24.73,1292,0
USAC.US,5,20260126,191000,24.715,24.77,24.715,24.77,200,0
USAC.US,5,20260126,191500,24.73,24.77,24.73,24.73,1101,0
USAC.US,5,20260126,192000,24.76,24.76,24.76,24.76,200,0
USAC.US,5,20260126,192500,24.76,24.76,24.76,24.76,100,0
USAC.US,5,20260126,193500,24.77,24.77,24.77,24.77,298,0
USAC.US,5,20260126,194000,24.74,24.74,24.74,24.74,396,0
USAC.US,5,20260126,194500,24.74,24.74,24.6985,24.72,1829,0
USAC.US,5,20260126,195000,24.695,24.72,24.695,24.72,200,0
USAC.US,5,20260126,195500,24.73,24.74,24.7,24.73,2970,0
