<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USLN.US,5,20260306,202500,50.46,50.46,50.46,50.46,100,0
USLN.US,5,20260310,144000,54.47,54.47,50.97,51.04,500,0
USLN.US,5,20260310,150000,50.7,50.7,50.7,50.7,100,0
USLN.US,5,20260310,185500,50.75,50.75,50.75,50.75,300,0
USLN.US,5,20260310,190500,50.74,50.82,50.74,50.82,400,0
USLN.US,5,20260310,192000,50.79,50.79,50.78,50.78,300,0
USLN.US,5,20260310,203000,50.78,50.78,50.78,50.78,2000,0
USLN.US,5,20260311,205000,50.61,50.61,50.61,50.61,200,0
USLN.US,5,20260313,143000,50.76,50.76,50.76,50.76,100,0
USLN.US,5,20260313,143500,50.67,50.67,50.67,50.67,200,0
USLN.US,5,20260317,195500,50.5299,50.5299,50.5299,50.5299,100,0
USLN.US,5,20260325,154500,50.55,50.55,50.55,50.55,200,0
USLN.US,5,20260327,184000,50.46,50.46,50.46,50.46,200,0
USLN.US,5,20260330,183500,50.51,50.51,50.51,50.51,100,0
USLN.US,5,20260408,153500,50.64,50.64,50.64,50.64,200,0
USLN.US,5,20260408,154000,50.68,50.74,50.68,50.74,300,0
USLN.US,5,20260408,165500,50.74,50.74,50.74,50.74,200,0
USLN.US,5,20260511,160500,50.785,50.785,50.785,50.785,100,0
USLN.US,5,20260515,155500,50.83,50.83,50.78,50.78,300,0
USLN.US,5,20260515,165000,50.75,50.75,50.75,50.75,200,0
USLN.US,5,20260515,174000,50.75,50.75,50.75,50.75,100,0
USLN.US,5,20260515,180000,50.75,50.75,50.71,50.71,700,0
USLN.US,5,20260518,153500,50.78,50.78,50.78,50.78,200,0
USLN.US,5,20260518,190500,50.73,50.73,50.73,50.73,200,0
USLN.US,5,20260520,194000,50.84,50.93,50.7975,50.86,3700,0
USLN.US,5,20260520,194500,50.92,50.96,50.92,50.96,3222,0
USLN.US,5,20260521,154000,50.84,50.84,50.84,50.84,100,0
USLN.US,5,20260526,164500,50.9,50.9,50.9,50.9,200,0
USLN.US,5,20260526,205500,50.9,50.9,50.9,50.9,100,0
USLN.US,5,20260601,184500,50.69,50.69,50.69,50.69,400,0
USLN.US,5,20260603,154500,50.61,50.61,50.61,50.61,1600,0
USLN.US,5,20260604,193000,50.62,50.62,50.62,50.62,200,0
USLN.US,5,20260611,160500,50.4001,50.4001,50.4001,50.4001,100,0
USLN.US,5,20260612,153500,50.515,50.515,50.515,50.515,200,0
USLN.US,5,20260622,161500,50.51,50.51,50.51,50.51,200,0
