<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VVR.US,5,20260126,153000,3.305,3.305,3.305,3.305,2646,0
VVR.US,5,20260126,153500,3.305,3.3082,3.305,3.305,7464,0
VVR.US,5,20260126,154000,3.304,3.3082,3.301,3.305,22827,0
VVR.US,5,20260126,154500,3.31,3.31,3.305,3.305,20200,0
VVR.US,5,20260126,155000,3.3003,3.3003,3.3003,3.3003,10000,0
VVR.US,5,20260126,155500,3.3,3.3,3.3,3.3,100,0
VVR.US,5,20260126,160000,3.3003,3.305,3.3,3.305,10335,0
VVR.US,5,20260126,160500,3.305,3.307989,3.3037,3.3037,4345,0
VVR.US,5,20260126,161000,3.305,3.305,3.3,3.3,1000,0
VVR.US,5,20260126,161500,3.305,3.3055,3.3,3.3,3515,0
VVR.US,5,20260126,162000,3.305,3.305,3.3,3.3014,15110,0
VVR.US,5,20260126,162500,3.305,3.3099,3.3,3.305,2258,0
VVR.US,5,20260126,163000,3.31,3.31,3.31,3.31,100,0
VVR.US,5,20260126,163500,3.31,3.31,3.305,3.305,3100,0
VVR.US,5,20260126,164000,3.305,3.305,3.3,3.3,17374,0
VVR.US,5,20260126,165000,3.3046,3.305,3.3046,3.305,910,0
VVR.US,5,20260126,165500,3.3,3.31,3.3,3.305,3690,0
VVR.US,5,20260126,170000,3.305,3.305,3.3,3.3,790,0
VVR.US,5,20260126,170500,3.3006,3.31,3.3006,3.31,7462,0
VVR.US,5,20260126,171000,3.31,3.31,3.3,3.31,61600,0
VVR.US,5,20260126,171500,3.31,3.31,3.3001,3.305,11850,0
VVR.US,5,20260126,172000,3.305,3.31,3.305,3.305,19110,0
VVR.US,5,20260126,172500,3.305,3.31,3.3,3.305,23294,0
VVR.US,5,20260126,173000,3.305,3.31,3.3008,3.305,14835,0
VVR.US,5,20260126,173500,3.305,3.305,3.3,3.3017,33476,0
VVR.US,5,20260126,174000,3.3037,3.31,3.3,3.3017,26736,0
VVR.US,5,20260126,174500,3.303,3.305,3.3,3.305,12402,0
VVR.US,5,20260126,175500,3.3058,3.31,3.3058,3.31,500,0
VVR.US,5,20260126,180000,3.3002,3.31,3.3,3.31,718,0
VVR.US,5,20260126,180500,3.305,3.31,3.305,3.305,4731,0
VVR.US,5,20260126,181000,3.31,3.31,3.3053,3.31,5300,0
VVR.US,5,20260126,182000,3.305,3.305,3.305,3.305,300,0
VVR.US,5,20260126,182500,3.305,3.31,3.3,3.305,6363,0
VVR.US,5,20260126,183000,3.305,3.31,3.305,3.31,1212,0
VVR.US,5,20260126,183500,3.31,3.31,3.305,3.306,1442,0
VVR.US,5,20260126,184000,3.305,3.305,3.305,3.305,200,0
VVR.US,5,20260126,184500,3.31,3.31,3.31,3.31,100,0
VVR.US,5,20260126,185000,3.3001,3.3016,3.3001,3.3016,11538,0
VVR.US,5,20260126,185500,3.305,3.3052,3.305,3.305,2221,0
VVR.US,5,20260126,190000,3.31,3.31,3.31,3.31,100,0
VVR.US,5,20260126,190500,3.305,3.305,3.305,3.305,8311,0
VVR.US,5,20260126,191000,3.31,3.31,3.31,3.31,300,0
VVR.US,5,20260126,191500,3.31,3.31,3.305,3.305,4789,0
VVR.US,5,20260126,192000,3.305,3.305,3.305,3.305,1512,0
VVR.US,5,20260126,192500,3.3001,3.3001,3.3,3.3,1600,0
VVR.US,5,20260126,193500,3.305,3.31,3.305,3.31,200,0
VVR.US,5,20260126,194000,3.305,3.305,3.305,3.305,398,0
VVR.US,5,20260126,194500,3.31,3.31,3.3086,3.3086,900,0
VVR.US,5,20260126,195000,3.305,3.3051,3.3,3.3,7743,0
VVR.US,5,20260126,195500,3.3008,3.3008,3.3008,3.3008,188,0
VVR.US,5,20260126,200000,3.305,3.31,3.3017,3.31,13004,0
