<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WAR.US,5,20260126,153000,25.53,25.53,25.5124,25.5124,722,0
WAR.US,5,20260126,154500,25.62,25.62,25.62,25.62,300,0
WAR.US,5,20260126,155000,25.71,25.71,25.71,25.71,100,0
WAR.US,5,20260126,155500,25.6799,25.6799,25.6601,25.67,633,0
WAR.US,5,20260126,160500,25.7,25.7,25.67,25.68,831,0
WAR.US,5,20260126,161000,25.68,25.7,25.68,25.7,200,0
WAR.US,5,20260126,162000,25.67,25.67,25.67,25.67,100,0
WAR.US,5,20260126,162500,25.64,25.64,25.6299,25.6299,800,0
WAR.US,5,20260126,164500,25.5131,25.5131,25.5131,25.5131,383,0
WAR.US,5,20260126,165500,25.56,25.58,25.56,25.58,271,0
WAR.US,5,20260126,171000,25.563,25.563,25.563,25.563,338,0
WAR.US,5,20260126,171500,25.565,25.565,25.565,25.565,500,0
WAR.US,5,20260126,172000,25.57,25.57,25.57,25.57,500,0
WAR.US,5,20260126,173500,25.57,25.57,25.57,25.57,1806,0
WAR.US,5,20260126,174000,25.58,25.58,25.58,25.58,400,0
WAR.US,5,20260126,180000,25.61,25.61,25.61,25.61,2341,0
WAR.US,5,20260126,181500,25.5898,25.5898,25.5898,25.5898,150,0
WAR.US,5,20260126,182500,25.6315,25.6315,25.6315,25.6315,253,0
WAR.US,5,20260126,184500,25.62,25.62,25.62,25.62,500,0
WAR.US,5,20260126,190500,25.5522,25.5522,25.5522,25.5522,200,0
WAR.US,5,20260126,191000,25.61,25.61,25.6099,25.6099,540,0
WAR.US,5,20260126,195000,25.62,25.62,25.62,25.62,100,0
WAR.US,5,20260126,203000,25.55,25.55,25.55,25.55,18166,0
WAR.US,5,20260126,204500,25.5693,25.5693,25.5693,25.5693,250,0
WAR.US,5,20260126,211500,25.525,25.525,25.525,25.525,100,0
WAR.US,5,20260126,214500,25.5615,25.5615,25.5615,25.5615,100,0
WAR.US,5,20260126,215500,25.59,25.59,25.59,25.59,488,0
WAR.US,5,20260127,153000,25.84,25.86,25.84,25.86,200,0
WAR.US,5,20260127,154500,25.87,25.87,25.84,25.84,300,0
WAR.US,5,20260127,155000,25.87,25.87,25.87,25.87,100,0
WAR.US,5,20260127,160500,25.91,25.91,25.91,25.91,100,0
WAR.US,5,20260127,161000,25.91,25.91,25.91,25.91,100,0
WAR.US,5,20260127,164000,25.87,25.87,25.87,25.87,500,0
WAR.US,5,20260127,165500,25.83,25.83,25.81,25.81,517,0
WAR.US,5,20260127,170000,25.845,25.845,25.845,25.845,1000,0
WAR.US,5,20260127,171500,25.83,25.8449,25.82,25.8449,762,0
WAR.US,5,20260127,175000,25.8725,25.8725,25.855,25.855,200,0
WAR.US,5,20260127,175500,25.83,25.83,25.83,25.83,300,0
WAR.US,5,20260127,181000,25.8399,25.8399,25.8399,25.8399,200,0
WAR.US,5,20260127,181500,25.81,25.81,25.79,25.79,400,0
WAR.US,5,20260127,182500,25.8075,25.8075,25.8075,25.8075,100,0
WAR.US,5,20260127,185000,25.78,25.78,25.77,25.77,2630,0
WAR.US,5,20260127,185500,25.776,25.776,25.776,25.776,181,0
WAR.US,5,20260127,194000,25.79,25.79,25.79,25.79,247,0
WAR.US,5,20260127,200500,25.7999,25.7999,25.7999,25.7999,100,0
WAR.US,5,20260127,213000,25.81,25.81,25.81,25.81,100,0
WAR.US,5,20260128,153000,26,26,26,26,200,0
WAR.US,5,20260128,153500,26.12,26.12,26.12,26.12,401,0
WAR.US,5,20260128,154000,26.19,26.19,26.18,26.18,299,0
WAR.US,5,20260128,155500,26.07,26.07,26.07,26.07,200,0
WAR.US,5,20260128,160500,25.897,25.897,25.897,25.897,120,0
WAR.US,5,20260128,161000,25.86,25.86,25.86,25.86,193,0
WAR.US,5,20260128,163500,25.975,25.99,25.975,25.99,256,0
WAR.US,5,20260128,164500,25.975,25.975,25.975,25.975,102,0
WAR.US,5,20260128,165000,25.9847,25.9847,25.9847,25.9847,275,0
WAR.US,5,20260128,165500,25.9582,25.9582,25.9582,25.9582,611,0
WAR.US,5,20260128,170500,25.9901,25.9901,25.9901,25.9901,250,0
WAR.US,5,20260128,173500,25.9801,25.9801,25.9801,25.9801,200,0
WAR.US,5,20260128,202000,25.99,25.991,25.99,25.991,798,0
WAR.US,5,20260128,211000,26.1008,26.1008,26.1008,26.1008,150,0
WAR.US,5,20260128,212000,26.11,26.11,26.08,26.08,200,0
WAR.US,5,20260128,215000,25.98,25.98,25.98,25.98,100,0
WAR.US,5,20260129,153000,25.98,25.98,25.98,25.98,1000,0
WAR.US,5,20260129,154000,25.74,25.74,25.68,25.68,300,0
WAR.US,5,20260129,154500,25.8,25.8,25.8,25.8,120,0
WAR.US,5,20260129,160000,25.65,25.65,25.65,25.65,1922,0
WAR.US,5,20260129,162000,25.5,25.524,25.48,25.48,4221,0
WAR.US,5,20260129,163500,25.3531,25.3531,25.31,25.31,700,0
WAR.US,5,20260129,170500,25.16,25.16,25.1,25.1,795,0
WAR.US,5,20260129,173000,25.36,25.36,25.36,25.36,199,0
WAR.US,5,20260129,182500,25.54,25.54,25.54,25.54,100,0
WAR.US,5,20260129,200000,25.52,25.52,25.52,25.52,100,0
WAR.US,5,20260129,205000,25.5136,25.5136,25.5136,25.5136,200,0
WAR.US,5,20260129,211000,25.495,25.495,25.495,25.495,200,0
WAR.US,5,20260129,212000,25.54,25.54,25.54,25.54,100,0
WAR.US,5,20260129,212500,25.54,25.54,25.54,25.54,100,0
WAR.US,5,20260129,214000,25.4775,25.4775,25.4775,25.4775,120,0
WAR.US,5,20260129,215500,25.61,25.64,25.61,25.64,491,0
WAR.US,5,20260130,163000,25.4177,25.4177,25.4177,25.4177,197,0
WAR.US,5,20260130,163500,25.442,25.442,25.442,25.442,100,0
WAR.US,5,20260130,165000,25.5716,25.5716,25.5716,25.5716,100,0
WAR.US,5,20260130,165500,25.47,25.47,25.47,25.47,100,0
WAR.US,5,20260130,173500,25.37,25.3899,25.36,25.3899,1994,0
WAR.US,5,20260130,180000,25.31,25.31,25.31,25.31,256,0
WAR.US,5,20260130,180500,25.31,25.31,25.31,25.31,100,0
WAR.US,5,20260130,183000,25.34,25.34,25.34,25.34,100,0
WAR.US,5,20260130,184500,25.3532,25.36,25.3532,25.36,264,0
WAR.US,5,20260130,193000,25.35,25.35,25.35,25.35,407,0
WAR.US,5,20260130,193500,25.34,25.34,25.155,25.155,1050,0
WAR.US,5,20260130,194000,25.18,25.18,25.18,25.18,100,0
WAR.US,5,20260130,211000,25.1106,25.1106,25.1,25.1,819,0
WAR.US,5,20260130,212000,25.06,25.06,25.06,25.06,100,0
WAR.US,5,20260130,213000,25.0699,25.0699,25.0699,25.0699,798,0
WAR.US,5,20260130,213500,25.05,25.05,25.05,25.05,100,0
WAR.US,5,20260130,214000,25.0883,25.0883,25.0883,25.0883,100,0
WAR.US,5,20260130,215000,25.15,25.15,25.15,25.15,105,0
WAR.US,5,20260202,153000,25.12,25.12,25.12,25.12,197,0
WAR.US,5,20260202,154000,25.35,25.35,25.35,25.35,571,0
WAR.US,5,20260202,162000,25.68,25.68,25.68,25.68,200,0
WAR.US,5,20260202,162500,25.7,25.7,25.7,25.7,100,0
WAR.US,5,20260202,163000,25.68,25.68,25.68,25.68,100,0
WAR.US,5,20260202,163500,25.67,25.67,25.67,25.67,4858,0
WAR.US,5,20260202,164000,25.76,25.76,25.7599,25.7599,400,0
WAR.US,5,20260202,165000,25.7,25.7,25.69,25.69,200,0
WAR.US,5,20260202,180500,25.715,25.715,25.715,25.715,388,0
WAR.US,5,20260202,182000,25.76,25.76,25.76,25.76,100,0
WAR.US,5,20260202,183500,25.7996,25.7996,25.7996,25.7996,100,0
WAR.US,5,20260202,185500,25.82,25.82,25.82,25.82,140,0
WAR.US,5,20260202,192500,25.78,25.78,25.78,25.78,100,0
WAR.US,5,20260202,200500,25.79,25.79,25.79,25.79,100,0
WAR.US,5,20260202,201000,25.73,25.76,25.73,25.76,300,0
WAR.US,5,20260202,203000,25.74,25.74,25.74,25.74,100,0
WAR.US,5,20260202,205500,25.72,25.72,25.72,25.72,801,0
WAR.US,5,20260202,211500,25.6801,25.6801,25.665,25.675,2500,0
WAR.US,5,20260202,212500,25.68,25.68,25.645,25.645,699,0
WAR.US,5,20260202,213500,25.635,25.635,25.635,25.635,100,0
WAR.US,5,20260202,215500,25.66,25.66,25.66,25.66,100,0
WAR.US,5,20260203,153000,25.885,25.885,25.885,25.885,100,0
WAR.US,5,20260203,153500,25.75,25.75,25.75,25.75,106,0
WAR.US,5,20260203,154000,25.705,25.705,25.58,25.58,1554,0
WAR.US,5,20260203,154500,25.68,25.68,25.68,25.68,972,0
WAR.US,5,20260203,155500,25.49,25.49,25.25,25.25,1207,0
WAR.US,5,20260203,162500,25.33,25.33,25.33,25.33,472,0
WAR.US,5,20260203,171000,25.57,25.57,25.57,25.57,2000,0
WAR.US,5,20260203,174000,25.44,25.44,25.44,25.44,200,0
WAR.US,5,20260203,191500,25.2,25.2,25.2,25.2,300,0
WAR.US,5,20260203,195500,25.09,25.09,25.09,25.09,206,0
WAR.US,5,20260203,202500,25.1889,25.19,25.155,25.19,1700,0
WAR.US,5,20260203,205000,25.14,25.14,25.14,25.14,752,0
WAR.US,5,20260203,210000,25.24,25.24,25.24,25.24,100,0
WAR.US,5,20260203,215500,25.48,25.48,25.48,25.48,426,0
WAR.US,5,20260204,153000,25.26,25.26,25.26,25.26,100,0
WAR.US,5,20260204,153500,24.99,25.11,24.99,25.11,10100,0
WAR.US,5,20260204,154000,25.11,25.11,25.11,25.11,200,0
WAR.US,5,20260204,154500,25.09,25.09,25.09,25.09,109,0
WAR.US,5,20260204,155500,24.89,24.89,24.89,24.89,145,0
WAR.US,5,20260204,160500,24.67,24.74,24.67,24.74,711,0
WAR.US,5,20260204,161000,24.86,24.86,24.86,24.86,100,0
WAR.US,5,20260204,162500,24.69,24.69,24.69,24.69,473,0
WAR.US,5,20260204,163000,24.575,24.6,24.5327,24.5327,789,0
WAR.US,5,20260204,163500,24.48,24.6,24.48,24.6,8915,0
WAR.US,5,20260204,164000,24.7001,24.7001,24.7001,24.7001,246,0
WAR.US,5,20260204,171000,24.3921,24.3921,24.3921,24.3921,127,0
WAR.US,5,20260204,180000,24.2596,24.2596,24.2596,24.2596,110,0
WAR.US,5,20260204,182000,24.094,24.094,24.094,24.094,200,0
WAR.US,5,20260204,182500,24.06,24.06,24.06,24.06,500,0
WAR.US,5,20260204,183000,24.03,24.03,24.03,24.03,119,0
WAR.US,5,20260204,190000,24.004,24.004,24.004,24.004,125,0
WAR.US,5,20260204,190500,24.025,24.025,24.025,24.025,1173,0
WAR.US,5,20260204,192000,23.94,23.94,23.89,23.89,1511,0
WAR.US,5,20260204,193000,23.915,23.915,23.915,23.915,1028,0
WAR.US,5,20260204,203000,24.04,24.04,24.04,24.04,100,0
WAR.US,5,20260204,204000,24.21,24.21,24.2099,24.2099,400,0
WAR.US,5,20260204,205500,24.41,24.41,24.41,24.41,750,0
WAR.US,5,20260204,210500,24.39,24.39,24.39,24.39,200,0
WAR.US,5,20260204,215000,24.3357,24.3357,24.3357,24.3357,411,0
WAR.US,5,20260204,215500,24.28,24.28,24.25,24.25,200,0
