<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XV.US,5,20260126,153000,25.565,25.565,25.565,25.565,181,0
XV.US,5,20260126,153500,25.63,25.64,25.63,25.64,250,0
XV.US,5,20260126,155000,25.6306,25.6306,25.6306,25.6306,100,0
XV.US,5,20260126,155500,25.6596,25.6596,25.6596,25.6596,100,0
XV.US,5,20260126,160000,25.66,25.7399,25.635,25.635,4866,0
XV.US,5,20260126,160500,25.68,25.69,25.635,25.69,1992,0
XV.US,5,20260126,161000,25.68,25.71,25.68,25.6848,1500,0
XV.US,5,20260126,161500,25.6964,25.6964,25.6964,25.6964,388,0
XV.US,5,20260126,165000,25.69,25.69,25.65,25.65,1567,0
XV.US,5,20260126,165500,25.63,25.6301,25.59,25.5901,8738,0
XV.US,5,20260126,170000,25.64,25.64,25.64,25.64,242,0
XV.US,5,20260126,170500,25.61,25.61,25.572,25.572,978,0
XV.US,5,20260126,172500,25.615,25.615,25.615,25.615,180,0
XV.US,5,20260126,174500,25.64,25.64,25.64,25.64,100,0
XV.US,5,20260126,175000,25.6599,25.6599,25.6599,25.6599,118,0
XV.US,5,20260126,180000,25.6492,25.69,25.6492,25.69,6329,0
XV.US,5,20260126,181000,25.67,25.695,25.67,25.695,224,0
XV.US,5,20260126,181500,25.66,25.665,25.66,25.665,1318,0
XV.US,5,20260126,182000,25.665,25.6775,25.665,25.6775,200,0
XV.US,5,20260126,184500,25.67,25.67,25.66,25.66,200,0
XV.US,5,20260126,190000,25.64,25.66,25.64,25.66,400,0
XV.US,5,20260126,190500,25.64,25.646,25.64,25.646,530,0
XV.US,5,20260126,193500,25.66,25.66,25.66,25.66,100,0
XV.US,5,20260126,194500,25.68,25.68,25.68,25.68,500,0
XV.US,5,20260126,195000,25.69,25.69,25.6899,25.6899,360,0
XV.US,5,20260126,201000,25.69,25.69,25.69,25.69,197,0
XV.US,5,20260126,201500,25.6684,25.6684,25.6684,25.6684,100,0
XV.US,5,20260126,203500,25.68,25.68,25.68,25.68,100,0
XV.US,5,20260126,215500,25.68,25.68,25.68,25.68,100,0
XV.US,5,20260127,153000,25.45,25.46,25.45,25.46,263,0
XV.US,5,20260127,154500,25.46,25.47,25.46,25.47,1000,0
XV.US,5,20260127,155000,25.47,25.47,25.47,25.47,100,0
XV.US,5,20260127,160000,25.46,25.46,25.46,25.46,100,0
XV.US,5,20260127,160500,25.46,25.46,25.46,25.46,500,0
XV.US,5,20260127,161000,25.46,25.46,25.46,25.46,400,0
XV.US,5,20260127,161500,25.45,25.45,25.45,25.45,108,0
XV.US,5,20260127,162000,25.46,25.46,25.46,25.46,2246,0
XV.US,5,20260127,162500,25.4484,25.4484,25.4484,25.4484,590,0
XV.US,5,20260127,163000,25.46,25.46,25.46,25.46,500,0
XV.US,5,20260127,163500,25.4699,25.4699,25.455,25.46,4881,0
XV.US,5,20260127,164000,25.46,25.46,25.46,25.46,1300,0
XV.US,5,20260127,164500,25.4401,25.4401,25.4401,25.4401,203,0
XV.US,5,20260127,165500,25.47,25.47,25.4401,25.45,7076,0
XV.US,5,20260127,171500,25.46,25.46,25.4501,25.4501,404,0
XV.US,5,20260127,172500,25.46,25.46,25.46,25.46,100,0
XV.US,5,20260127,173000,25.46,25.46,25.46,25.46,170,0
XV.US,5,20260127,173500,25.46,25.46,25.46,25.46,135,0
XV.US,5,20260127,175500,25.47,25.47,25.47,25.47,3298,0
XV.US,5,20260127,181000,25.46,25.46,25.46,25.46,400,0
XV.US,5,20260127,190000,25.46,25.46,25.45,25.46,800,0
XV.US,5,20260127,192000,25.46,25.47,25.46,25.47,502,0
XV.US,5,20260127,201500,25.4661,25.47,25.4661,25.47,200,0
XV.US,5,20260127,202000,25.46,25.46,25.46,25.46,6280,0
XV.US,5,20260127,202500,25.46,25.46,25.44,25.44,986,0
XV.US,5,20260127,203000,25.4538,25.4538,25.4538,25.4538,100,0
XV.US,5,20260127,211500,25.47,25.47,25.47,25.47,100,0
XV.US,5,20260127,213000,25.47,25.47,25.47,25.47,964,0
XV.US,5,20260127,215500,25.46,25.46,25.45,25.45,200,0
