<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YSG.US,5,20260126,153000,4.22,4.275,4.22,4.275,2340,0
YSG.US,5,20260126,154000,4.2,4.2,4.2,4.2,120,0
YSG.US,5,20260126,154500,4.23,4.23,4.23,4.23,281,0
YSG.US,5,20260126,155500,4.23,4.23,4.19,4.19,3000,0
YSG.US,5,20260126,161000,4.225,4.225,4.225,4.225,100,0
YSG.US,5,20260126,161500,4.27,4.28,4.27,4.28,8100,0
YSG.US,5,20260126,162000,4.2501,4.2501,4.2501,4.2501,245,0
YSG.US,5,20260126,162500,4.23,4.25,4.23,4.25,410,0
YSG.US,5,20260126,163000,4.25,4.25,4.21,4.21,584,0
YSG.US,5,20260126,164500,4.21,4.26,4.2,4.26,2732,0
YSG.US,5,20260126,170000,4.24,4.24,4.24,4.24,200,0
YSG.US,5,20260126,170500,4.235,4.235,4.21,4.21,200,0
YSG.US,5,20260126,171000,4.295,4.295,4.295,4.295,100,0
YSG.US,5,20260126,172000,4.285,4.285,4.285,4.285,100,0
YSG.US,5,20260126,173500,4.22,4.22,4.2,4.2,200,0
YSG.US,5,20260126,180000,4.27,4.27,4.2,4.2,700,0
YSG.US,5,20260126,180500,4.23,4.275,4.23,4.275,1300,0
YSG.US,5,20260126,181000,4.28,4.31,4.26,4.26,800,0
YSG.US,5,20260126,181500,4.26,4.26,4.26,4.26,300,0
YSG.US,5,20260126,183500,4.29,4.29,4.29,4.29,100,0
YSG.US,5,20260126,185500,4.245,4.245,4.245,4.245,100,0
YSG.US,5,20260126,190000,4.245,4.245,4.245,4.245,100,0
YSG.US,5,20260126,190500,4.245,4.245,4.22,4.22,200,0
YSG.US,5,20260126,191000,4.21,4.21,4.19,4.19,8102,0
YSG.US,5,20260126,193000,4.18,4.18,4.18,4.18,608,0
YSG.US,5,20260126,193500,4.16,4.185,4.16,4.185,2090,0
YSG.US,5,20260126,195000,4.175,4.175,4.175,4.175,200,0
YSG.US,5,20260126,195500,4.2,4.2,4.2,4.2,400,0
YSG.US,5,20260126,200000,4.21,4.21,4.21,4.21,600,0
YSG.US,5,20260126,202000,4.185,4.185,4.16,4.18,600,0
YSG.US,5,20260126,203500,4.16,4.16,4.16,4.16,100,0
YSG.US,5,20260126,204000,4.1999,4.1999,4.1999,4.1999,300,0
YSG.US,5,20260126,204500,4.175,4.175,4.175,4.175,100,0
YSG.US,5,20260126,205000,4.175,4.175,4.175,4.175,200,0
YSG.US,5,20260126,205500,4.175,4.175,4.175,4.175,200,0
YSG.US,5,20260126,210000,4.175,4.175,4.15,4.16,1200,0
YSG.US,5,20260126,211000,4.14,4.14,4.14,4.14,100,0
YSG.US,5,20260126,211500,4.14,4.14,4.14,4.14,100,0
YSG.US,5,20260126,213000,4.145,4.16,4.145,4.16,2300,0
YSG.US,5,20260126,213500,4.145,4.19,4.145,4.19,1335,0
YSG.US,5,20260126,214000,4.2004,4.21,4.2004,4.21,700,0
YSG.US,5,20260126,214500,4.19,4.21,4.18,4.19,618,0
YSG.US,5,20260126,215000,4.17,4.17,4.12,4.17,800,0
YSG.US,5,20260126,215500,4.155,4.18,4.14,4.18,5185,0
YSG.US,5,20260127,153500,4.2,4.2,4.2,4.2,1200,0
YSG.US,5,20260127,154000,4.2,4.2,4.2,4.2,1936,0
YSG.US,5,20260127,154500,4.21,4.23,4.2,4.23,5410,0
YSG.US,5,20260127,155000,4.25,4.25,4.25,4.25,1000,0
YSG.US,5,20260127,155500,4.26,4.26,4.25,4.25,500,0
YSG.US,5,20260127,161000,4.25,4.26,4.25,4.26,600,0
YSG.US,5,20260127,161500,4.25,4.25,4.25,4.25,600,0
YSG.US,5,20260127,162000,4.24,4.25,4.24,4.25,600,0
YSG.US,5,20260127,163500,4.24,4.27,4.24,4.25,600,0
YSG.US,5,20260127,164000,4.2501,4.2501,4.2501,4.2501,1200,0
YSG.US,5,20260127,164500,4.25,4.2573,4.24,4.2573,1484,0
YSG.US,5,20260127,165000,4.21,4.21,4.21,4.21,500,0
YSG.US,5,20260127,170000,4.2,4.2,4.2,4.2,100,0
YSG.US,5,20260127,172000,4.225,4.225,4.21,4.21,200,0
YSG.US,5,20260127,172500,4.23,4.23,4.23,4.23,100,0
YSG.US,5,20260127,173000,4.25,4.28,4.25,4.28,1033,0
YSG.US,5,20260127,173500,4.255,4.255,4.255,4.255,119,0
YSG.US,5,20260127,180000,4.265,4.265,4.265,4.265,800,0
YSG.US,5,20260127,182500,4.25,4.275,4.25,4.275,200,0
YSG.US,5,20260127,183500,4.25,4.25,4.25,4.25,100,0
YSG.US,5,20260127,191500,4.24,4.24,4.24,4.24,500,0
YSG.US,5,20260127,192500,4.2599,4.2599,4.25,4.25,500,0
YSG.US,5,20260127,193500,4.25,4.25,4.25,4.25,100,0
YSG.US,5,20260127,202500,4.24,4.24,4.24,4.24,200,0
YSG.US,5,20260127,210000,4.24,4.24,4.24,4.24,737,0
YSG.US,5,20260127,212000,4.22,4.22,4.22,4.22,100,0
YSG.US,5,20260127,213000,4.2,4.2,4.2,4.2,100,0
YSG.US,5,20260127,214000,4.21,4.21,4.21,4.21,100,0
YSG.US,5,20260127,215000,4.23,4.23,4.21,4.22,1200,0
YSG.US,5,20260127,215500,4.22,4.22,4.2,4.2,5230,0
