<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIM.US,5,20260126,153000,1.17847,1.17847,1.15422,1.16392,18510.573999999997,0
AIM.US,5,20260126,153500,1.15422,1.16392,1.15422,1.16392,1775.3819999999998,0
AIM.US,5,20260126,154000,1.15422,1.15422,1.15422,1.15422,103.1,0
AIM.US,5,20260126,154500,1.15422,1.15422,1.15422,1.15422,807.2729999999999,0
AIM.US,5,20260126,155500,1.15422,1.15422,1.15422,1.15422,1584.647,0
AIM.US,5,20260126,160000,1.15422,1.16392,1.15422,1.15519,9021.25,0
AIM.US,5,20260126,160500,1.16256,1.16256,1.16256,1.16256,206.2,0
AIM.US,5,20260126,161000,1.15422,1.15422,1.15422,1.15422,515.5,0
AIM.US,5,20260126,161500,1.15422,1.15422,1.15422,1.15422,103.1,0
AIM.US,5,20260126,162000,1.15422,1.16392,1.14452,1.16198,3677.5769999999998,0
AIM.US,5,20260126,162500,1.15907,1.15907,1.15422,1.15422,1237.1999999999998,0
AIM.US,5,20260126,163000,1.15228,1.15228,1.15228,1.15228,206.2,0
AIM.US,5,20260126,163500,1.14675,1.15422,1.14675,1.15422,623.755,0
AIM.US,5,20260126,164000,1.16392,1.16392,1.15422,1.16392,5593.174999999999,0
AIM.US,5,20260126,164500,1.16392,1.16392,1.15907,1.16392,11052.32,0
AIM.US,5,20260126,165000,1.15422,1.16392,1.15422,1.16392,554.678,0
AIM.US,5,20260126,170000,1.15422,1.15422,1.15422,1.15422,103.1,0
AIM.US,5,20260126,172000,1.16392,1.16392,1.16392,1.16392,3196.1,0
AIM.US,5,20260126,173000,1.15422,1.15422,1.15422,1.15422,670.15,0
AIM.US,5,20260126,173500,1.14995,1.14995,1.14995,1.14995,1237.1999999999998,0
AIM.US,5,20260126,174000,1.15015,1.15422,1.15015,1.15422,618.5999999999999,0
AIM.US,5,20260126,175000,1.14937,1.14937,1.14937,1.14937,103.1,0
AIM.US,5,20260126,180000,1.14937,1.15422,1.14937,1.15422,1513.5079999999998,0
AIM.US,5,20260126,181000,1.15412,1.15422,1.15325,1.15422,1039.2479999999998,0
AIM.US,5,20260126,181500,1.15422,1.15422,1.15422,1.15422,309.29999999999995,0
AIM.US,5,20260126,182000,1.16372,1.17362,1.16372,1.16392,9284.154999999999,0
AIM.US,5,20260126,182500,1.16392,1.16392,1.16392,1.16392,2579.562,0
