<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLDI.US,5,20260126,153000,1.03,1.03,1.02,1.02,343,0
CLDI.US,5,20260126,154000,1.0308,1.0308,1.0308,1.0308,1000,0
CLDI.US,5,20260126,155000,1.031,1.031,1.03,1.03,350,0
CLDI.US,5,20260126,161000,1.0206,1.0206,1.0206,1.0206,200,0
CLDI.US,5,20260126,161500,1.02,1.02,1,1,6661,0
CLDI.US,5,20260126,162500,1,1,1,1,696,0
CLDI.US,5,20260126,163500,1,1,1,1,168,0
CLDI.US,5,20260126,164500,1.0195,1.0195,1.0195,1.0195,1000,0
CLDI.US,5,20260126,165500,1.014,1.014,1.014,1.014,300,0
CLDI.US,5,20260126,170000,1.0001,1.02,1.0001,1.02,700,0
CLDI.US,5,20260126,171000,1.01,1.01,1.01,1.01,101,0
CLDI.US,5,20260126,171500,1,1,1,1,234,0
CLDI.US,5,20260126,172500,1,1,1,1,2000,0
CLDI.US,5,20260126,173500,1.01,1.01,1.01,1.01,1000,0
CLDI.US,5,20260126,174500,1.01,1.01,1.01,1.01,1150,0
CLDI.US,5,20260126,181500,1.0155,1.0155,1.0155,1.0155,1990,0
CLDI.US,5,20260126,182000,1.02,1.02,1.02,1.02,500,0
CLDI.US,5,20260126,184500,1,1,1,1,100,0
CLDI.US,5,20260126,191000,1.005,1.005,1,1,1375,0
CLDI.US,5,20260126,191500,0.99,0.9901,0.99,0.9901,1100,0
CLDI.US,5,20260126,192000,0.984,1,0.984,1,590,0
CLDI.US,5,20260126,192500,1,1.0001,1,1.0001,500,0
CLDI.US,5,20260126,193000,1,1,1,1,3750,0
CLDI.US,5,20260126,194000,1.0199,1.0199,1.0199,1.0199,2000,0
CLDI.US,5,20260126,200000,1.0025,1.0025,1.0025,1.0025,1982,0
CLDI.US,5,20260126,201500,1,1.005,1,1,2311,0
CLDI.US,5,20260126,202000,0.9942,0.9942,0.9942,0.9942,2145,0
CLDI.US,5,20260126,202500,1,1,1,1,4000,0
CLDI.US,5,20260126,203000,1,1,1,1,275,0
CLDI.US,5,20260126,203500,1.0097,1.0097,1.0097,1.0097,390,0
CLDI.US,5,20260126,204000,1,1,1,1,356,0
CLDI.US,5,20260126,205000,1.005,1.0098,1.005,1.0098,500,0
CLDI.US,5,20260126,205500,1.005,1.005,1.005,1.005,302,0
CLDI.US,5,20260126,211500,1,1,1,1,100,0
CLDI.US,5,20260126,212000,1.009,1.02,1,1.02,30282,0
CLDI.US,5,20260126,212500,1.02,1.02,1.01,1.01,782,0
CLDI.US,5,20260126,215000,1,1.01,1,1.01,300,0
CLDI.US,5,20260126,215500,1,1.02,1,1.02,1879,0
CLDI.US,5,20260127,153000,1.02,1.02,1.01,1.01,947,0
CLDI.US,5,20260127,154500,1.01,1.01,1.005,1.005,4684,0
CLDI.US,5,20260127,155000,1.0046,1.0056,1.0015,1.0056,5057,0
CLDI.US,5,20260127,160500,1.005,1.005,1.005,1.005,167,0
CLDI.US,5,20260127,161000,1.0001,1.0001,1.0001,1.0001,1532,0
