<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAD.US,5,20260126,153000,6.88,6.89,6.88,6.89,500,0
EAD.US,5,20260126,153500,6.885,6.885,6.885,6.885,300,0
EAD.US,5,20260126,154000,6.885,6.885,6.88,6.885,1900,0
EAD.US,5,20260126,155000,6.882,6.89,6.882,6.89,3900,0
EAD.US,5,20260126,160000,6.89,6.89,6.885,6.885,8316,0
EAD.US,5,20260126,160500,6.88,6.88,6.88,6.88,1200,0
EAD.US,5,20260126,161500,6.88,6.88,6.88,6.88,3080,0
EAD.US,5,20260126,162500,6.872,6.872,6.872,6.872,1100,0
EAD.US,5,20260126,163500,6.872,6.872,6.872,6.872,1100,0
EAD.US,5,20260126,164500,6.87,6.875,6.87,6.87,3200,0
EAD.US,5,20260126,165000,6.872,6.88,6.87,6.875,1500,0
EAD.US,5,20260126,170000,6.87,6.8748,6.87,6.8748,1494,0
EAD.US,5,20260126,171000,6.875,6.875,6.87,6.87,1500,0
EAD.US,5,20260126,172000,6.875,6.875,6.87,6.87,2300,0
EAD.US,5,20260126,172500,6.875,6.875,6.875,6.875,100,0
EAD.US,5,20260126,173000,6.8701,6.8701,6.87,6.87,1100,0
EAD.US,5,20260126,174000,6.88,6.88,6.86,6.8601,21140,0
EAD.US,5,20260126,174500,6.8673,6.8673,6.865,6.865,1200,0
EAD.US,5,20260126,175000,6.862,6.865,6.86,6.86,7300,0
EAD.US,5,20260126,180000,6.861,6.861,6.861,6.861,1100,0
EAD.US,5,20260126,181000,6.8612,6.865,6.86,6.86,1100,0
EAD.US,5,20260126,182000,6.86,6.86,6.86,6.86,1099,0
EAD.US,5,20260126,182500,6.86,6.86,6.86,6.86,1500,0
EAD.US,5,20260126,183000,6.855,6.8597,6.855,6.855,4271,0
EAD.US,5,20260126,183500,6.86,6.86,6.86,6.86,5877,0
EAD.US,5,20260126,184500,6.8618,6.87,6.86,6.86,1200,0
EAD.US,5,20260126,185000,6.86,6.86,6.86,6.86,100,0
EAD.US,5,20260126,185500,6.8618,6.865,6.86,6.865,1280,0
