<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EONR-WS.US,5,20260127,175000,0.0225,0.0225,0.0225,0.0225,4000,0
EONR-WS.US,5,20260127,182500,0.0548,0.0549,0.0548,0.0549,1000,0
EONR-WS.US,5,20260127,195000,0.05,0.05,0.05,0.05,1500,0
EONR-WS.US,5,20260127,195500,0.048,0.048,0.048,0.048,200,0
EONR-WS.US,5,20260127,200500,0.047,0.047,0.047,0.047,100,0
EONR-WS.US,5,20260127,201000,0.047,0.0485,0.027,0.0485,4006,0
EONR-WS.US,5,20260127,210000,0.0486,0.0486,0.0486,0.0486,5000,0
EONR-WS.US,5,20260128,154000,0.0524,0.0524,0.05,0.0521,5000,0
EONR-WS.US,5,20260128,160000,0.0525,0.0525,0.0525,0.0525,100,0
EONR-WS.US,5,20260128,160500,0.05,0.0549,0.05,0.0544,8500,0
EONR-WS.US,5,20260128,161000,0.05,0.05,0.05,0.05,1301,0
EONR-WS.US,5,20260128,170000,0.0447,0.0447,0.0313,0.0313,700,0
EONR-WS.US,5,20260128,170500,0.0324,0.0324,0.0324,0.0324,4300,0
EONR-WS.US,5,20260128,174000,0.0405,0.0405,0.0405,0.0405,100,0
EONR-WS.US,5,20260128,180000,0.040501,0.0406,0.040501,0.0406,4200,0
EONR-WS.US,5,20260128,180500,0.0526,0.0527,0.0526,0.0527,400,0
EONR-WS.US,5,20260128,183500,0.0351,0.042701,0.0351,0.042701,5000,0
EONR-WS.US,5,20260128,185500,0.0499,0.0499,0.0499,0.0499,100,0
EONR-WS.US,5,20260128,194000,0.0499,0.0499,0.0499,0.0499,100,0
EONR-WS.US,5,20260128,204500,0.05,0.05,0.05,0.05,100,0
EONR-WS.US,5,20260128,210500,0.05,0.05,0.0351,0.0351,2035,0
EONR-WS.US,5,20260128,215500,0.05,0.05,0.05,0.05,3738,0
EONR-WS.US,5,20260129,171000,0.0393,0.0393,0.0393,0.0393,2400,0
EONR-WS.US,5,20260129,175000,0.0393,0.0393,0.0393,0.0393,2000,0
EONR-WS.US,5,20260129,194000,0.046,0.048,0.046,0.048,8762,0
EONR-WS.US,5,20260204,191500,0.0549,0.0549,0.0549,0.0549,400,0
EONR-WS.US,5,20260204,192500,0.0549,0.0549,0.0549,0.0549,100,0
EONR-WS.US,5,20260204,193500,0.0574,0.0595,0.0574,0.0595,1000,0
EONR-WS.US,5,20260204,194500,0.0549,0.0549,0.0549,0.0549,100,0
EONR-WS.US,5,20260204,200000,0.05491,0.0582,0.0549,0.0574,9254,0
EONR-WS.US,5,20260205,164000,0.05,0.05,0.05,0.05,233,0
EONR-WS.US,5,20260205,174500,0.05,0.05,0.0499,0.0499,534,0
EONR-WS.US,5,20260205,175500,0.052,0.052,0.052,0.052,100,0
EONR-WS.US,5,20260205,183500,0.05902,0.05902,0.05902,0.05902,3000,0
EONR-WS.US,5,20260205,190500,0.0595,0.0595,0.0595,0.0595,100,0
EONR-WS.US,5,20260205,203500,0.052,0.052,0.052,0.052,1000,0
EONR-WS.US,5,20260205,214500,0.04,0.04,0.0396,0.0396,1000,0
EONR-WS.US,5,20260209,193000,0.0372,0.0381,0.0365,0.038,3376,0
EONR-WS.US,5,20260209,193500,0.0381,0.0381,0.0379,0.0379,200,0
EONR-WS.US,5,20260209,194000,0.0381,0.0381,0.0381,0.0381,800,0
EONR-WS.US,5,20260209,200000,0.0381,0.0409,0.0365,0.0409,5634,0
EONR-WS.US,5,20260209,212000,0.0365,0.0366,0.0365,0.0366,3164,0
EONR-WS.US,5,20260210,153000,0.0386,0.0408,0.0386,0.0408,6239,0
EONR-WS.US,5,20260210,154500,0.0408,0.0408,0.037249,0.0407,2830,0
EONR-WS.US,5,20260212,160500,0.0382,0.0382,0.0382,0.0382,600,0
EONR-WS.US,5,20260217,214500,0.0407,0.0593,0.0407,0.0593,900,0
EONR-WS.US,5,20260218,163500,0.0484,0.0484,0.0484,0.0484,1000,0
EONR-WS.US,5,20260218,182000,0.0594,0.0594,0.0594,0.0594,1000,0
EONR-WS.US,5,20260218,190000,0.0594,0.0594,0.05,0.05,4585,0
EONR-WS.US,5,20260219,175000,0.0594,0.0594,0.0594,0.0594,200,0
EONR-WS.US,5,20260219,211000,0.0594,0.065,0.0594,0.0598,12600,0
EONR-WS.US,5,20260223,164500,0.062685,0.062685,0.062685,0.062685,12360,0
EONR-WS.US,5,20260223,183000,0.06,0.0649,0.06,0.0649,400,0
EONR-WS.US,5,20260225,182000,0.06,0.0624,0.06,0.06,4874,0
EONR-WS.US,5,20260225,184000,0.06,0.0649,0.06,0.0649,12426,0
EONR-WS.US,5,20260227,154000,0.06,0.0649,0.06,0.06,12322,0
EONR-WS.US,5,20260227,213500,0.0625,0.08,0.06,0.08,32307,0
EONR-WS.US,5,20260227,214000,0.0849,0.084901,0.08,0.0801,72815,0
EONR-WS.US,5,20260227,214500,0.08,0.08,0.08,0.08,10000,0
EONR-WS.US,5,20260302,153000,0.14,0.14,0.1082,0.1082,4992,0
EONR-WS.US,5,20260302,160500,0.0857,0.0857,0.0857,0.0857,1000,0
EONR-WS.US,5,20260302,164000,0.08675,0.08675,0.08675,0.08675,100,0
EONR-WS.US,5,20260302,170000,0.0857,0.0857,0.0857,0.0857,500,0
EONR-WS.US,5,20260302,171000,0.08,0.08,0.08,0.08,5000,0
EONR-WS.US,5,20260302,175000,0.073,0.073,0.0658,0.0658,7000,0
EONR-WS.US,5,20260302,191500,0.064,0.064,0.064,0.064,1000,0
EONR-WS.US,5,20260302,192000,0.064,0.064,0.064,0.064,1000,0
EONR-WS.US,5,20260302,201500,0.065,0.07535,0.065,0.07535,3100,0
EONR-WS.US,5,20260302,204000,0.08285,0.08285,0.08285,0.08285,100,0
EONR-WS.US,5,20260302,214000,0.0801,0.0801,0.0801,0.0801,2500,0
EONR-WS.US,5,20260302,214500,0.0857,0.0857,0.0857,0.0857,2900,0
EONR-WS.US,5,20260303,153500,0.0975,0.0975,0.0879,0.0879,400,0
EONR-WS.US,5,20260303,154000,0.0962,0.0962,0.0839,0.0839,950,0
EONR-WS.US,5,20260303,155500,0.086501,0.086501,0.086501,0.086501,181,0
EONR-WS.US,5,20260303,160000,0.0902,0.0902,0.0902,0.0902,850,0
EONR-WS.US,5,20260303,160500,0.0782,0.0782,0.0782,0.0782,233,0
EONR-WS.US,5,20260303,161500,0.082875,0.0999,0.078,0.0999,2700,0
EONR-WS.US,5,20260303,162000,0.1,0.1,0.099,0.099,1000,0
EONR-WS.US,5,20260303,163000,0.1,0.1,0.1,0.1,100,0
EONR-WS.US,5,20260303,163500,0.0975,0.0975,0.0975,0.0975,799,0
EONR-WS.US,5,20260303,164000,0.0851,0.0851,0.0816,0.0816,1250,0
EONR-WS.US,5,20260303,165000,0.078,0.0815,0.078,0.0815,700,0
EONR-WS.US,5,20260303,165500,0.078,0.0797,0.078,0.078,3525,0
EONR-WS.US,5,20260303,170500,0.07885,0.0797,0.078,0.0781,19253,0
EONR-WS.US,5,20260303,171500,0.0797,0.0797,0.078,0.078,4027,0
EONR-WS.US,5,20260303,173000,0.079,0.079,0.079,0.079,200,0
EONR-WS.US,5,20260303,181000,0.075,0.075,0.075,0.075,10000,0
EONR-WS.US,5,20260303,182500,0.075,0.075,0.075,0.075,100,0
EONR-WS.US,5,20260303,194500,0.081,0.081,0.081,0.081,2000,0
EONR-WS.US,5,20260303,195500,0.0623,0.0637,0.062,0.0628,6848,0
EONR-WS.US,5,20260303,201500,0.0627,0.0627,0.0622,0.0622,200,0
EONR-WS.US,5,20260303,202000,0.081,0.081,0.081,0.081,5000,0
EONR-WS.US,5,20260303,210000,0.081,0.081,0.081,0.081,100,0
EONR-WS.US,5,20260304,153000,0.079,0.079,0.078,0.078,4995,0
EONR-WS.US,5,20260304,155000,0.078,0.078,0.078,0.078,200,0
EONR-WS.US,5,20260304,161500,0.0784,0.079,0.0784,0.079,300,0
EONR-WS.US,5,20260304,163000,0.079,0.079,0.079,0.079,100,0
EONR-WS.US,5,20260304,164000,0.0829,0.095,0.0829,0.095,600,0
EONR-WS.US,5,20260304,164500,0.0856,0.0856,0.0856,0.0856,100,0
EONR-WS.US,5,20260304,170500,0.079,0.079,0.079,0.079,100,0
EONR-WS.US,5,20260304,172000,0.079,0.079,0.079,0.079,100,0
EONR-WS.US,5,20260304,174000,0.079,0.079,0.079,0.079,100,0
EONR-WS.US,5,20260304,180000,0.079,0.079,0.079,0.079,100,0
EONR-WS.US,5,20260304,181000,0.079,0.079,0.079,0.079,500,0
EONR-WS.US,5,20260304,184500,0.079,0.079,0.079,0.079,3200,0
EONR-WS.US,5,20260304,215500,0.0734,0.0734,0.0734,0.0734,100,0
EONR-WS.US,5,20260305,165000,0.0698,0.0698,0.0698,0.0698,100,0
EONR-WS.US,5,20260305,171000,0.0698,0.0727,0.0698,0.0727,1100,0
EONR-WS.US,5,20260305,173500,0.08,0.08,0.08,0.08,200,0
EONR-WS.US,5,20260305,181500,0.08,0.08,0.08,0.08,479,0
EONR-WS.US,5,20260305,185000,0.082,0.082,0.082,0.082,100,0
EONR-WS.US,5,20260305,191000,0.08,0.08,0.08,0.08,8368,0
EONR-WS.US,5,20260305,193500,0.0743,0.08,0.0654,0.0763,9300,0
EONR-WS.US,5,20260305,194000,0.0771,0.0994,0.0725,0.0874,43442,0
EONR-WS.US,5,20260305,201500,0.086,0.086,0.086,0.086,600,0
EONR-WS.US,5,20260305,202000,0.086,0.086,0.086,0.086,300,0
EONR-WS.US,5,20260305,202500,0.087401,0.0999,0.0748,0.0849,8232,0
EONR-WS.US,5,20260305,203000,0.086,0.086,0.086,0.086,300,0
EONR-WS.US,5,20260305,203500,0.098,0.098,0.098,0.098,500,0
EONR-WS.US,5,20260305,205000,0.086,0.086,0.0856,0.0856,230,0
EONR-WS.US,5,20260306,153500,0.0901,0.0901,0.0901,0.0901,5000,0
EONR-WS.US,5,20260306,154000,0.0896,0.0988,0.081,0.0892,9500,0
EONR-WS.US,5,20260306,154500,0.079549,0.0929,0.0784,0.0929,1200,0
EONR-WS.US,5,20260306,160000,0.0988,0.0988,0.0988,0.0988,100,0
EONR-WS.US,5,20260306,160500,0.09,0.0988,0.09,0.0988,495,0
EONR-WS.US,5,20260306,162500,0.09445,0.09445,0.09445,0.09445,100,0
EONR-WS.US,5,20260306,163000,0.09445,0.09445,0.09445,0.09445,100,0
EONR-WS.US,5,20260306,165000,0.09,0.09,0.09,0.09,600,0
