<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTA.US,5,20260126,153000,8.52,8.59,8.38,8.565,28153,0
MTA.US,5,20260126,153500,8.59,8.65,8.52,8.565,24460,0
MTA.US,5,20260126,154000,8.575,8.74,8.55,8.7338,55739,0
MTA.US,5,20260126,154500,8.69,8.81,8.65,8.795,31481,0
MTA.US,5,20260126,155000,8.815,8.88,8.8,8.845,25983,0
MTA.US,5,20260126,155500,8.8699,8.92,8.845,8.91,23716,0
MTA.US,5,20260126,160000,8.91,8.94,8.78,8.879,118772,0
MTA.US,5,20260126,160500,8.9,8.96,8.84,8.9,85802,0
MTA.US,5,20260126,161000,8.895,8.93,8.87,8.87,40625,0
MTA.US,5,20260126,161500,8.887,8.887,8.79,8.8,14730,0
MTA.US,5,20260126,162000,8.829,8.85,8.79,8.835,18784,0
MTA.US,5,20260126,162500,8.835,8.85,8.8,8.825,26230,0
MTA.US,5,20260126,163000,8.825,8.83,8.725,8.725,12159,0
MTA.US,5,20260126,163500,8.75,8.77,8.61,8.61,13528,0
MTA.US,5,20260126,164000,8.63,8.67,8.5933,8.67,7799,0
MTA.US,5,20260126,164500,8.645,8.7,8.645,8.685,3258,0
MTA.US,5,20260126,165000,8.685,8.7,8.66,8.68,1620,0
MTA.US,5,20260126,165500,8.684,8.74,8.684,8.715,13123,0
MTA.US,5,20260126,170000,8.715,8.7899,8.7133,8.7899,10134,0
MTA.US,5,20260126,170500,8.765,8.77,8.7,8.7,5407,0
MTA.US,5,20260126,171000,8.705,8.7599,8.705,8.71,7289,0
MTA.US,5,20260126,171500,8.735,8.79,8.71,8.765,6974,0
MTA.US,5,20260126,172000,8.78,8.8,8.765,8.8,5480,0
MTA.US,5,20260126,172500,8.79,8.8,8.75,8.77,7399,0
MTA.US,5,20260126,173000,8.75,8.755,8.68,8.74,15349,0
MTA.US,5,20260126,173500,8.74,8.78,8.7,8.7205,2300,0
MTA.US,5,20260126,174000,8.74,8.74,8.71,8.725,762,0
MTA.US,5,20260126,174500,8.75,8.75,8.72,8.745,2474,0
MTA.US,5,20260126,175000,8.745,8.76,8.74,8.75,1527,0
MTA.US,5,20260126,175500,8.76,8.79,8.76,8.7721,3270,0
MTA.US,5,20260126,180000,8.775,8.79,8.77,8.781,1989,0
MTA.US,5,20260126,180500,8.781,8.79,8.7509,8.77,7559,0
MTA.US,5,20260126,181000,8.76,8.79,8.75,8.7812,3300,0
MTA.US,5,20260126,181500,8.795,8.795,8.76,8.7652,3339,0
