<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OGEN.US,5,20260126,153000,0.8079,0.8158,0.79,0.8158,3563,0
OGEN.US,5,20260126,153500,0.79,0.79,0.79,0.79,200,0
OGEN.US,5,20260126,154000,0.7924,0.7974,0.783,0.783,2245,0
OGEN.US,5,20260126,154500,0.7881,0.7891,0.788,0.788,1600,0
OGEN.US,5,20260126,155000,0.8099,0.8099,0.79005,0.7901,3257,0
OGEN.US,5,20260126,155500,0.79,0.7901,0.79,0.7901,2419,0
OGEN.US,5,20260126,160000,0.7901,0.7901,0.790067,0.790067,1600,0
OGEN.US,5,20260126,160500,0.8,0.8158,0.8,0.8158,6005,0
OGEN.US,5,20260126,161000,0.8157,0.82515,0.81245,0.81245,17970,0
OGEN.US,5,20260126,161500,0.81,0.8128,0.81,0.8128,653,0
OGEN.US,5,20260126,162000,0.8119,0.8119,0.8119,0.8119,100,0
OGEN.US,5,20260126,162500,0.8116,0.8155,0.8116,0.813,5329,0
OGEN.US,5,20260126,163000,0.8136,0.8149,0.8136,0.8149,1047,0
OGEN.US,5,20260126,163500,0.8182,0.82,0.8182,0.82,10744,0
OGEN.US,5,20260126,164500,0.83,0.83,0.82,0.82,1501,0
OGEN.US,5,20260126,165000,0.83,0.8399,0.83,0.83,4474,0
OGEN.US,5,20260126,170500,0.825,0.825,0.825,0.825,1200,0
OGEN.US,5,20260126,171000,0.8212,0.8212,0.82,0.82,510,0
OGEN.US,5,20260126,171500,0.82405,0.82405,0.82405,0.82405,150,0
OGEN.US,5,20260126,172000,0.82,0.82,0.82,0.82,493,0
OGEN.US,5,20260126,173500,0.82,0.82,0.8199,0.8199,700,0
OGEN.US,5,20260126,174000,0.8199,0.8199,0.8199,0.8199,400,0
OGEN.US,5,20260126,175000,0.8161,0.8199,0.8123,0.8123,1866,0
OGEN.US,5,20260126,180000,0.81415,0.81415,0.81415,0.81415,500,0
OGEN.US,5,20260126,180500,0.81415,0.8142,0.8123,0.8123,2322,0
OGEN.US,5,20260126,181000,0.8124,0.8124,0.8123,0.8123,339,0
OGEN.US,5,20260126,182000,0.8124,0.8124,0.8124,0.8124,100,0
OGEN.US,5,20260126,183000,0.8126,0.813,0.8126,0.8126,1650,0
OGEN.US,5,20260126,183500,0.8123,0.8141,0.8123,0.8141,1800,0
OGEN.US,5,20260126,184500,0.8123,0.8123,0.8123,0.8123,103,0
OGEN.US,5,20260126,185000,0.815,0.81605,0.815,0.81605,780,0
OGEN.US,5,20260126,190000,0.8123,0.8123,0.8123,0.8123,214,0
OGEN.US,5,20260126,190500,0.8123,0.8123,0.8123,0.8123,300,0
OGEN.US,5,20260126,191000,0.816,0.816,0.8159,0.8159,200,0
OGEN.US,5,20260126,192500,0.8277,0.8277,0.8277,0.8277,100,0
OGEN.US,5,20260126,194000,0.82,0.8266,0.82,0.8232,7316,0
OGEN.US,5,20260126,195000,0.82,0.82,0.82,0.82,100,0
OGEN.US,5,20260126,195500,0.82,0.82,0.82,0.82,100,0
OGEN.US,5,20260126,202000,0.825,0.83,0.815,0.8225,3226,0
OGEN.US,5,20260126,203500,0.83,0.83,0.83,0.83,100,0
OGEN.US,5,20260126,204000,0.8347,0.8347,0.8347,0.8347,100,0
OGEN.US,5,20260126,205000,0.83,0.83,0.83,0.83,200,0
OGEN.US,5,20260126,210500,0.832,0.832,0.832,0.832,800,0
OGEN.US,5,20260126,211000,0.83,0.83,0.83,0.83,1398,0
OGEN.US,5,20260126,211500,0.8229,0.8229,0.8229,0.8229,100,0
OGEN.US,5,20260126,213000,0.822,0.822,0.82,0.82,461,0
OGEN.US,5,20260126,213500,0.8175,0.8177,0.8167,0.8167,700,0
OGEN.US,5,20260126,214000,0.8175,0.8175,0.81,0.8134,3400,0
OGEN.US,5,20260126,214500,0.81425,0.81425,0.81,0.81,296,0
OGEN.US,5,20260126,215000,0.8,0.82,0.8,0.8053,1900,0
OGEN.US,5,20260126,215500,0.8053,0.8053,0.8053,0.8053,132,0
OGEN.US,5,20260127,153000,0.81,0.81,0.79,0.79,4548,0
OGEN.US,5,20260127,153500,0.7873,0.7873,0.7873,0.7873,243,0
OGEN.US,5,20260127,154000,0.829699,0.829699,0.7722,0.79745,10536,0
OGEN.US,5,20260127,154500,0.7801,0.7965,0.78,0.7965,1200,0
OGEN.US,5,20260127,155000,0.7965,0.7965,0.7964,0.7964,400,0
OGEN.US,5,20260127,155500,0.799786,0.799786,0.799786,0.799786,100,0
OGEN.US,5,20260127,160000,0.80485,0.80485,0.80485,0.80485,520,0
OGEN.US,5,20260127,160500,0.78,0.8077,0.78,0.8077,1859,0
OGEN.US,5,20260127,161000,0.8059,0.8059,0.8059,0.8059,170,0
OGEN.US,5,20260127,161500,0.79,0.79,0.79,0.79,346,0
OGEN.US,5,20260127,162500,0.7925,0.7955,0.78,0.7955,2300,0
OGEN.US,5,20260127,163000,0.80485,0.8237,0.80485,0.8237,500,0
OGEN.US,5,20260127,163500,0.780101,0.780101,0.780101,0.780101,811,0
OGEN.US,5,20260127,164500,0.785,0.785,0.785,0.785,1882,0
OGEN.US,5,20260127,165000,0.806101,0.806101,0.806101,0.806101,111,0
OGEN.US,5,20260127,165500,0.8061,0.8061,0.806,0.8061,610,0
OGEN.US,5,20260127,170000,0.8,0.805,0.8,0.805,677,0
OGEN.US,5,20260127,170500,0.8094,0.8094,0.8094,0.8094,100,0
OGEN.US,5,20260127,171000,0.785,0.81985,0.785,0.81,6126,0
OGEN.US,5,20260127,172500,0.81,0.81,0.81,0.81,200,0
OGEN.US,5,20260127,173000,0.8161,0.8161,0.8161,0.8161,200,0
OGEN.US,5,20260127,173500,0.81,0.81,0.797,0.797,1881,0
OGEN.US,5,20260127,174000,0.8084,0.8084,0.797,0.8084,990,0
