<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URG.US,5,20260126,153000,1.88,1.925,1.8723,1.9211,461541,0
URG.US,5,20260126,153500,1.92,1.9472,1.92,1.9358,223458,0
URG.US,5,20260126,154000,1.94,1.96,1.94,1.945,604508,0
URG.US,5,20260126,154500,1.95,1.96,1.93,1.935,226642,0
URG.US,5,20260126,155000,1.935,1.94,1.92,1.925,109896,0
URG.US,5,20260126,155500,1.92,1.93,1.91,1.925,210842,0
URG.US,5,20260126,160000,1.92,1.92,1.8929,1.895,298942,0
URG.US,5,20260126,160500,1.8924,1.91,1.8919,1.91,170248,0
URG.US,5,20260126,161000,1.909,1.909,1.88,1.8824,320860,0
URG.US,5,20260126,161500,1.885,1.89,1.88,1.88,131202,0
URG.US,5,20260126,162000,1.88,1.89,1.86,1.86,257357,0
URG.US,5,20260126,162500,1.865,1.8685,1.86,1.86,108979,0
URG.US,5,20260126,163000,1.86,1.875,1.86,1.875,198919,0
URG.US,5,20260126,163500,1.875,1.875,1.85,1.855,293833,0
URG.US,5,20260126,164000,1.855,1.8598,1.84,1.855,349495,0
URG.US,5,20260126,164500,1.855,1.86,1.85,1.8573,30214,0
URG.US,5,20260126,165000,1.8525,1.86,1.85,1.85,40047,0
URG.US,5,20260126,165500,1.855,1.86,1.85,1.855,25970,0
URG.US,5,20260126,170000,1.85,1.86,1.85,1.855,53632,0
URG.US,5,20260126,170500,1.855,1.8581,1.85,1.8581,13317,0
URG.US,5,20260126,171000,1.855,1.858,1.85,1.8512,18165,0
URG.US,5,20260126,171500,1.85,1.855,1.84,1.84,205632,0
URG.US,5,20260126,172000,1.84,1.8451,1.83,1.835,395194,0
URG.US,5,20260126,172500,1.835,1.8381,1.83,1.8318,111125,0
URG.US,5,20260126,173000,1.835,1.8381,1.82,1.82,264675,0
URG.US,5,20260126,173500,1.82,1.83,1.82,1.825,117651,0
URG.US,5,20260126,174000,1.825,1.83,1.82,1.82,74602,0
URG.US,5,20260126,174500,1.825,1.845,1.82,1.845,286633,0
URG.US,5,20260126,175000,1.84,1.85,1.84,1.845,72607,0
URG.US,5,20260126,175500,1.845,1.8499,1.84,1.84,59689,0
URG.US,5,20260126,180000,1.84,1.848,1.84,1.845,61670,0
URG.US,5,20260126,180500,1.845,1.8478,1.84,1.845,33534,0
URG.US,5,20260126,181000,1.845,1.85,1.84,1.84,26715,0
URG.US,5,20260126,181500,1.845,1.85,1.84,1.84,45737,0
URG.US,5,20260126,182000,1.845,1.8497,1.84,1.845,29030,0
URG.US,5,20260126,182500,1.845,1.8481,1.84,1.8481,26065,0
URG.US,5,20260126,183000,1.845,1.85,1.84,1.84,48561,0
URG.US,5,20260126,183500,1.845,1.845,1.84,1.845,24149,0
URG.US,5,20260126,184000,1.84,1.85,1.84,1.84,19535,0
URG.US,5,20260126,184500,1.84,1.85,1.84,1.84,28270,0
URG.US,5,20260126,185000,1.845,1.8499,1.84,1.84,70136,0
URG.US,5,20260126,185500,1.84,1.8483,1.84,1.841,88880,0
URG.US,5,20260126,190000,1.84,1.845,1.83,1.83,112164,0
URG.US,5,20260126,190500,1.83,1.83,1.82,1.82,54201,0
URG.US,5,20260126,191000,1.82,1.83,1.82,1.825,38052,0
URG.US,5,20260126,191500,1.82,1.83,1.82,1.825,71715,0
URG.US,5,20260126,192000,1.82,1.8277,1.82,1.82,21582,0
URG.US,5,20260126,192500,1.8273,1.8273,1.82,1.82,34254,0
URG.US,5,20260126,193000,1.825,1.825,1.81,1.81,86215,0
URG.US,5,20260126,193500,1.81,1.818,1.81,1.8102,27090,0
URG.US,5,20260126,194000,1.81,1.82,1.8,1.815,312550,0
URG.US,5,20260126,194500,1.815,1.82,1.81,1.8155,88043,0
URG.US,5,20260126,195000,1.815,1.82,1.8,1.815,541604,0
URG.US,5,20260126,195500,1.815,1.825,1.8101,1.825,362775,0
URG.US,5,20260126,200000,1.828,1.828,1.81,1.81,129887,0
URG.US,5,20260126,200500,1.81,1.82,1.81,1.81,236633,0
URG.US,5,20260126,201000,1.81,1.82,1.81,1.8129,43938,0
URG.US,5,20260126,201500,1.8173,1.82,1.8,1.8,159494,0
URG.US,5,20260126,202000,1.8,1.8083,1.8,1.8,52447,0
URG.US,5,20260126,202500,1.805,1.81,1.8,1.8015,43266,0
URG.US,5,20260126,203000,1.8,1.81,1.79,1.79,117355,0
URG.US,5,20260126,203500,1.79,1.795,1.78,1.785,148006,0
URG.US,5,20260126,204000,1.785,1.795,1.78,1.7842,229378,0
URG.US,5,20260126,204500,1.785,1.7854,1.78,1.78,24948,0
URG.US,5,20260126,205000,1.78,1.785,1.77,1.77,210655,0
URG.US,5,20260126,205500,1.775,1.78,1.77,1.78,113974,0
URG.US,5,20260126,210000,1.775,1.78,1.77,1.775,89568,0
URG.US,5,20260126,210500,1.77,1.785,1.77,1.785,189535,0
URG.US,5,20260126,211000,1.785,1.7882,1.77,1.775,98442,0
URG.US,5,20260126,211500,1.775,1.78,1.77,1.775,98684,0
URG.US,5,20260126,212000,1.7716,1.78,1.77,1.77,87242,0
URG.US,5,20260126,212500,1.77,1.7755,1.76,1.775,600572,0
URG.US,5,20260126,213000,1.775,1.78,1.77,1.775,36747,0
URG.US,5,20260126,213500,1.7723,1.79,1.77,1.785,199910,0
URG.US,5,20260126,214000,1.785,1.79,1.78,1.785,91838,0
URG.US,5,20260126,214500,1.785,1.8,1.78,1.795,502480,0
URG.US,5,20260126,215000,1.79,1.8,1.79,1.795,313766,0
URG.US,5,20260126,215500,1.79,1.8,1.78,1.79,1130266,0
URG.US,5,20260127,153000,1.795,1.82,1.7912,1.815,241730,0
URG.US,5,20260127,153500,1.82,1.84,1.8197,1.8338,54612,0
URG.US,5,20260127,154000,1.835,1.84,1.82,1.825,105647,0
URG.US,5,20260127,154500,1.825,1.825,1.8,1.805,356725,0
URG.US,5,20260127,155000,1.805,1.82,1.8002,1.815,76374,0
URG.US,5,20260127,155500,1.8111,1.825,1.81,1.82,118219,0
URG.US,5,20260127,160000,1.8188,1.82,1.811,1.8138,29337,0
URG.US,5,20260127,160500,1.811,1.8299,1.811,1.825,123734,0
URG.US,5,20260127,161000,1.825,1.83,1.81,1.81,137695,0
URG.US,5,20260127,161500,1.81,1.81,1.8,1.8,91038,0
URG.US,5,20260127,162000,1.81,1.81,1.79,1.805,78655,0
URG.US,5,20260127,162500,1.805,1.815,1.805,1.815,98319,0
URG.US,5,20260127,163000,1.8192,1.8192,1.81,1.815,5918,0
URG.US,5,20260127,163500,1.8173,1.8185,1.81,1.81,10222,0
URG.US,5,20260127,164000,1.815,1.8162,1.81,1.81,128632,0
URG.US,5,20260127,164500,1.81,1.82,1.81,1.8101,85858,0
URG.US,5,20260127,165000,1.815,1.83,1.815,1.825,171547,0
URG.US,5,20260127,165500,1.825,1.838,1.825,1.835,97995,0
URG.US,5,20260127,170000,1.835,1.845,1.83,1.84,116581,0
URG.US,5,20260127,170500,1.835,1.85,1.8342,1.845,46275,0
URG.US,5,20260127,171000,1.845,1.85,1.8419,1.845,47365,0
URG.US,5,20260127,171500,1.845,1.855,1.84,1.855,319069,0
URG.US,5,20260127,172000,1.85,1.87,1.85,1.865,363152,0
URG.US,5,20260127,172500,1.865,1.88,1.865,1.875,61255,0
URG.US,5,20260127,173000,1.8784,1.88,1.87,1.87,68135,0
URG.US,5,20260127,173500,1.87,1.88,1.87,1.875,46780,0
URG.US,5,20260127,174000,1.8713,1.89,1.8713,1.885,583555,0
URG.US,5,20260127,174500,1.884726,1.89,1.88,1.885,98895,0
URG.US,5,20260127,175000,1.88,1.89,1.88,1.88,153901,0
URG.US,5,20260127,175500,1.88,1.895,1.88,1.895,139187,0
URG.US,5,20260127,180000,1.8914,1.91,1.89,1.905,406652,0
URG.US,5,20260127,180500,1.905,1.92,1.9,1.905,220323,0
URG.US,5,20260127,181000,1.905,1.9199,1.9,1.91,236649,0
URG.US,5,20260127,181500,1.9099,1.91,1.9,1.9,113745,0
URG.US,5,20260127,182000,1.905,1.915,1.9,1.91,139021,0
URG.US,5,20260127,182500,1.915,1.92,1.91,1.915,64628,0
URG.US,5,20260127,183000,1.915,1.92,1.91,1.92,60134,0
URG.US,5,20260127,183500,1.915,1.925,1.91,1.925,318531,0
URG.US,5,20260127,184000,1.925,1.93,1.92,1.9216,238145,0
URG.US,5,20260127,184500,1.925,1.93,1.92,1.9255,145578,0
URG.US,5,20260127,185000,1.92,1.93,1.92,1.92,159542,0
URG.US,5,20260127,185500,1.9219,1.93,1.92,1.925,83356,0
URG.US,5,20260127,190000,1.925,1.9282,1.91,1.915,91320,0
URG.US,5,20260127,190500,1.915,1.9175,1.9,1.9,273307,0
URG.US,5,20260127,191000,1.9,1.91,1.9,1.9,78378,0
URG.US,5,20260127,191500,1.9,1.9086,1.89,1.899,213520,0
URG.US,5,20260127,192000,1.8987,1.8997,1.89,1.8972,40895,0
URG.US,5,20260127,192500,1.89,1.9,1.89,1.895,299688,0
URG.US,5,20260127,193000,1.8983,1.8983,1.89,1.895,88419,0
URG.US,5,20260127,193500,1.895,1.8955,1.89,1.89,28301,0
URG.US,5,20260127,194000,1.8946,1.8992,1.89,1.895,7660,0
URG.US,5,20260127,194500,1.89,1.9,1.89,1.89,19653,0
URG.US,5,20260127,195000,1.9,1.9,1.89,1.9,45038,0
URG.US,5,20260127,195500,1.9,1.9,1.89,1.9,28677,0
URG.US,5,20260127,200000,1.895,1.9,1.89,1.895,11762,0
URG.US,5,20260127,200500,1.895,1.9,1.89,1.89,80042,0
URG.US,5,20260127,201000,1.895,1.9,1.89,1.895,21789,0
URG.US,5,20260127,201500,1.895,1.9,1.89,1.895,9066,0
URG.US,5,20260127,202000,1.89,1.9,1.89,1.9,28429,0
URG.US,5,20260127,202500,1.89,1.9,1.89,1.89,15538,0
URG.US,5,20260127,203000,1.895,1.895,1.885,1.885,193794,0
URG.US,5,20260127,203500,1.885,1.89,1.88,1.885,39903,0
URG.US,5,20260127,204000,1.8865,1.89,1.88,1.88,27985,0
URG.US,5,20260127,204500,1.885,1.89,1.88,1.88,33277,0
URG.US,5,20260127,205000,1.885,1.889,1.88,1.88,10976,0
URG.US,5,20260127,205500,1.885,1.89,1.88,1.885,75541,0
URG.US,5,20260127,210000,1.88,1.895,1.88,1.8942,224291,0
URG.US,5,20260127,210500,1.89,1.9,1.89,1.895,28641,0
URG.US,5,20260127,211000,1.9,1.92,1.8946,1.92,297146,0
URG.US,5,20260127,211500,1.915,1.92,1.91,1.915,58584,0
URG.US,5,20260127,212000,1.915,1.92,1.91,1.915,123096,0
URG.US,5,20260127,212500,1.915,1.9199,1.91,1.91,81916,0
URG.US,5,20260127,213000,1.915,1.918,1.89,1.905,923525,0
URG.US,5,20260127,213500,1.905,1.91,1.905,1.91,36338,0
URG.US,5,20260127,214000,1.91,1.92,1.91,1.9117,381243,0
URG.US,5,20260127,214500,1.915,1.93,1.915,1.93,496536,0
URG.US,5,20260127,215000,1.93,1.93,1.92,1.925,240364,0
URG.US,5,20260127,215500,1.925,1.93,1.92,1.93,1030234,0
URG.US,5,20260128,153000,1.96,1.98,1.92,1.935,570108,0
URG.US,5,20260128,153500,1.935,1.955,1.93,1.9405,208718,0
URG.US,5,20260128,154000,1.945,1.96,1.93,1.945,155456,0
URG.US,5,20260128,154500,1.95,1.96,1.945,1.955,196754,0
URG.US,5,20260128,155000,1.95,1.96,1.9208,1.925,151326,0
URG.US,5,20260128,155500,1.93,1.93,1.91,1.93,411990,0
URG.US,5,20260128,160000,1.925,1.93,1.91,1.925,87701,0
URG.US,5,20260128,160500,1.925,1.93,1.92,1.925,37294,0
URG.US,5,20260128,161000,1.925,1.93,1.9217,1.9217,32882,0
URG.US,5,20260128,161500,1.925,1.93,1.92,1.925,21448,0
URG.US,5,20260128,162000,1.92,1.935,1.92,1.93,295238,0
URG.US,5,20260128,162500,1.92,1.94,1.92,1.93,85377,0
URG.US,5,20260128,163000,1.935,1.9499,1.935,1.945,49569,0
URG.US,5,20260128,163500,1.9486,1.95,1.93,1.9466,243990,0
URG.US,5,20260128,164000,1.945,1.96,1.943,1.9591,60422,0
URG.US,5,20260128,164500,1.955,1.96,1.95,1.95,26574,0
URG.US,5,20260128,165000,1.955,1.96,1.945,1.945,159688,0
URG.US,5,20260128,165500,1.95,1.95,1.932,1.935,134329,0
URG.US,5,20260128,170000,1.93,1.94,1.93,1.935,27896,0
URG.US,5,20260128,170500,1.935,1.95,1.931,1.94,115652,0
URG.US,5,20260128,171000,1.9475,1.95,1.935,1.945,213758,0
URG.US,5,20260128,171500,1.945,1.96,1.94,1.945,366328,0
URG.US,5,20260128,172000,1.945,1.95,1.94,1.945,36895,0
URG.US,5,20260128,172500,1.95,1.96,1.9419,1.955,38805,0
URG.US,5,20260128,173000,1.9582,1.96,1.95,1.952,17520,0
URG.US,5,20260128,173500,1.95,1.957,1.945,1.95,99702,0
URG.US,5,20260128,174000,1.949,1.95,1.941,1.9423,8029,0
URG.US,5,20260128,174500,1.945,1.96,1.9446,1.955,47496,0
URG.US,5,20260128,175000,1.955,1.97,1.95,1.9685,131872,0
URG.US,5,20260128,175500,1.97,1.98,1.9537,1.955,540650,0
URG.US,5,20260128,180000,1.955,1.98,1.95,1.975,250876,0
URG.US,5,20260128,180500,1.975,1.98,1.97,1.975,92726,0
URG.US,5,20260128,181000,1.975,1.98,1.97,1.975,132509,0
URG.US,5,20260128,181500,1.975,1.98,1.97,1.978,333304,0
URG.US,5,20260128,182000,1.975,1.98,1.96,1.96,574286,0
URG.US,5,20260128,182500,1.97,1.97,1.96,1.965,119156,0
URG.US,5,20260128,183000,1.965,1.965,1.96,1.965,13108,0
URG.US,5,20260128,183500,1.96,1.97,1.96,1.965,68978,0
URG.US,5,20260128,184000,1.96,1.98,1.955,1.975,627337,0
URG.US,5,20260128,184500,1.975,1.99,1.97,1.98,821035,0
URG.US,5,20260128,185000,1.975,1.985,1.9746,1.98,150407,0
URG.US,5,20260128,185500,1.98,1.98,1.96,1.96,209606,0
URG.US,5,20260128,190000,1.965,1.97,1.96,1.97,36284,0
URG.US,5,20260128,190500,1.9647,1.97,1.95,1.955,113616,0
URG.US,5,20260128,191000,1.95,1.9799,1.95,1.975,939830,0
URG.US,5,20260128,191500,1.975,1.98,1.97,1.9799,20651,0
URG.US,5,20260128,192000,1.98,1.985,1.9746,1.975,397676,0
URG.US,5,20260128,192500,1.975,1.989,1.974,1.985,686087,0
URG.US,5,20260128,193000,1.9879,1.9879,1.975,1.975,92509,0
URG.US,5,20260128,193500,1.975,1.979,1.97,1.975,46747,0
URG.US,5,20260128,194000,1.975,1.99,1.97,1.975,560098,0
URG.US,5,20260128,194500,1.9775,1.98,1.97,1.97,75649,0
URG.US,5,20260128,195000,1.975,1.975,1.96,1.96,368923,0
URG.US,5,20260128,195500,1.965,1.97,1.96,1.9692,17952,0
URG.US,5,20260128,200000,1.96,1.965,1.94,1.945,109311,0
URG.US,5,20260128,200500,1.945,1.965,1.94,1.96,316939,0
URG.US,5,20260128,201000,1.965,1.975,1.96,1.972,172228,0
URG.US,5,20260128,201500,1.9706,1.98,1.9706,1.9798,101073,0
URG.US,5,20260128,202000,1.97,1.99,1.97,1.985,359435,0
URG.US,5,20260128,202500,1.985,1.99,1.975,1.975,616335,0
URG.US,5,20260128,203000,1.97,1.98,1.9321,1.955,1290825,0
URG.US,5,20260128,203500,1.96,1.98,1.955,1.979,166702,0
URG.US,5,20260128,204000,1.98,1.99,1.98,1.985,67303,0
URG.US,5,20260128,204500,1.99,2.01,1.98,2.005,939823,0
URG.US,5,20260128,205000,2.005,2.01,2,2.005,258516,0
URG.US,5,20260128,205500,2.005,2.01,1.975,1.975,766021,0
URG.US,5,20260128,210000,1.975,1.99,1.96,1.98,1205233,0
URG.US,5,20260128,210500,1.98,2,1.98,1.99,241965,0
URG.US,5,20260128,211000,1.995,2,1.99,1.995,91424,0
URG.US,5,20260128,211500,1.991,2,1.984,1.985,568651,0
URG.US,5,20260128,212000,1.985,2,1.98,1.995,249380,0
URG.US,5,20260128,212500,1.9921,2,1.9901,2,102270,0
URG.US,5,20260128,213000,1.995,2,1.991,1.995,100762,0
URG.US,5,20260128,213500,1.995,2.0063,1.99,2,802038,0
URG.US,5,20260128,214000,2,2.01,1.995,2.005,358686,0
URG.US,5,20260128,214500,2.005,2.01,2,2,447570,0
URG.US,5,20260128,215000,2.01,2.01,1.99,1.99,461111,0
URG.US,5,20260128,215500,1.995,2,1.99,1.9996,767857,0
URG.US,5,20260129,153000,2.02,2.03,1.96,1.9692,629606,0
URG.US,5,20260129,153500,1.965,1.98,1.935,1.96,329828,0
URG.US,5,20260129,154000,1.965,2.01,1.96,2.005,407699,0
URG.US,5,20260129,154500,2.005,2.0097,1.975,1.995,320412,0
URG.US,5,20260129,155000,1.995,1.995,1.95,1.96,235264,0
URG.US,5,20260129,155500,1.96,1.9686,1.95,1.95,119307,0
URG.US,5,20260129,160000,1.9485,1.96,1.9403,1.9556,114342,0
URG.US,5,20260129,160500,1.955,1.97,1.955,1.965,156476,0
URG.US,5,20260129,161000,1.965,1.97,1.9411,1.945,317490,0
URG.US,5,20260129,161500,1.945,1.96,1.93,1.93,521105,0
URG.US,5,20260129,162000,1.935,1.947,1.93,1.935,223925,0
URG.US,5,20260129,162500,1.935,1.94,1.9,1.905,408251,0
URG.US,5,20260129,163000,1.905,1.905,1.88,1.885,178866,0
URG.US,5,20260129,163500,1.89,1.89,1.88,1.885,82555,0
URG.US,5,20260129,164000,1.885,1.8881,1.86,1.87,225204,0
URG.US,5,20260129,164500,1.8632,1.8758,1.86,1.86,385938,0
URG.US,5,20260129,165000,1.87,1.87,1.85,1.855,149817,0
URG.US,5,20260129,165500,1.86,1.87,1.85,1.8501,349321,0
URG.US,5,20260129,170000,1.855,1.86,1.85,1.855,58822,0
URG.US,5,20260129,170500,1.85,1.86,1.85,1.855,123584,0
URG.US,5,20260129,171000,1.85,1.89,1.85,1.89,187189,0
URG.US,5,20260129,171500,1.885,1.9,1.885,1.89,159501,0
URG.US,5,20260129,172000,1.895,1.9,1.88,1.8897,122801,0
URG.US,5,20260129,172500,1.88,1.89,1.88,1.88,37723,0
URG.US,5,20260129,173000,1.88,1.89,1.88,1.8899,28050,0
URG.US,5,20260129,173500,1.8878,1.889,1.88,1.88,37371,0
URG.US,5,20260129,174000,1.88,1.89,1.88,1.885,61680,0
URG.US,5,20260129,174500,1.885,1.89,1.88,1.89,94354,0
URG.US,5,20260129,175000,1.885,1.9,1.885,1.895,83003,0
URG.US,5,20260129,175500,1.9,1.9,1.89,1.89,32243,0
URG.US,5,20260129,180000,1.89,1.9,1.89,1.895,73464,0
URG.US,5,20260129,180500,1.895,1.9,1.89,1.89,77653,0
URG.US,5,20260129,181000,1.895,1.905,1.89,1.905,262237,0
URG.US,5,20260129,181500,1.905,1.9171,1.9,1.915,107095,0
URG.US,5,20260129,182000,1.915,1.92,1.91,1.91,79959,0
URG.US,5,20260129,182500,1.915,1.92,1.9,1.9,131063,0
URG.US,5,20260129,183000,1.905,1.91,1.905,1.91,97588,0
URG.US,5,20260129,183500,1.91,1.92,1.91,1.9179,67280,0
URG.US,5,20260129,184000,1.91,1.915,1.9,1.9096,58078,0
URG.US,5,20260129,184500,1.9092,1.91,1.9,1.9,13813,0
URG.US,5,20260129,185000,1.905,1.905,1.8811,1.885,144591,0
URG.US,5,20260129,185500,1.885,1.89,1.88,1.885,21322,0
URG.US,5,20260129,190000,1.88,1.885,1.87,1.87,64303,0
URG.US,5,20260129,190500,1.875,1.88,1.87,1.875,20346,0
URG.US,5,20260129,191000,1.871,1.89,1.87,1.8881,31612,0
URG.US,5,20260129,191500,1.885,1.89,1.8829,1.89,25089,0
URG.US,5,20260129,192000,1.885,1.89,1.88,1.88,48073,0
URG.US,5,20260129,192500,1.88,1.89,1.88,1.885,29921,0
URG.US,5,20260129,193000,1.885,1.885,1.855,1.87,411002,0
URG.US,5,20260129,193500,1.87,1.885,1.8619,1.885,31386,0
URG.US,5,20260129,194000,1.88,1.89,1.88,1.89,7882,0
URG.US,5,20260129,194500,1.885,1.89,1.87,1.885,124907,0
URG.US,5,20260129,195000,1.88,1.89,1.88,1.885,10723,0
URG.US,5,20260129,195500,1.889,1.89,1.87,1.875,53035,0
URG.US,5,20260129,200000,1.875,1.88,1.87,1.875,35336,0
URG.US,5,20260129,200500,1.875,1.89,1.875,1.885,41262,0
URG.US,5,20260129,201000,1.885,1.89,1.88,1.889,23104,0
URG.US,5,20260129,201500,1.885,1.898,1.885,1.895,32185,0
URG.US,5,20260129,202000,1.89,1.9,1.89,1.895,24348,0
