<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UUU.US,5,20260126,153000,5.1037,5.1037,5.1037,5.1037,250,0
UUU.US,5,20260126,153500,5.2569,5.2799,5.07,5.2799,1840,0
UUU.US,5,20260126,154500,5.1272,5.1272,5.0899,5.0899,3700,0
UUU.US,5,20260126,155000,5.09,5.09,5.09,5.09,900,0
UUU.US,5,20260126,155500,5.1495,5.1495,5.1495,5.1495,200,0
UUU.US,5,20260126,160500,5.1,5.1,5.1,5.1,1100,0
UUU.US,5,20260126,161500,5.1,5.1,5.09,5.09,1602,0
UUU.US,5,20260126,162000,5.0956,5.1217,5.0956,5.1217,237,0
UUU.US,5,20260126,162500,5.09,5.09,5.09,5.09,100,0
UUU.US,5,20260126,164000,5.0501,5.0501,5.0501,5.0501,1155,0
UUU.US,5,20260126,164500,5.05,5.05,5.05,5.05,260,0
UUU.US,5,20260126,165000,5.0917,5.1,5.0917,5.0995,3150,0
UUU.US,5,20260126,165500,5.1599,5.1599,5.105,5.105,1450,0
UUU.US,5,20260126,170500,5.16,5.16,5.16,5.16,100,0
UUU.US,5,20260126,171000,5.1437,5.1437,5.05,5.05,200,0
UUU.US,5,20260126,171500,5.0932,5.0932,5.09,5.09,1620,0
UUU.US,5,20260126,173500,5.07,5.07,5.07,5.07,195,0
UUU.US,5,20260126,175000,5.0609,5.0609,5.0609,5.0609,138,0
UUU.US,5,20260126,180000,5.09,5.09,5.09,5.09,100,0
UUU.US,5,20260126,181000,5.08,5.08,5.08,5.08,1000,0
UUU.US,5,20260126,182500,5.1,5.1,5.1,5.1,998,0
UUU.US,5,20260126,184000,5.09,5.18,5.09,5.18,2263,0
UUU.US,5,20260126,184500,5.24,5.4,5.24,5.265,9274,0
UUU.US,5,20260126,185000,5.3875,5.3875,5.25,5.25,1967,0
UUU.US,5,20260126,185500,5.2412,5.2412,5.2412,5.2412,100,0
UUU.US,5,20260126,190500,5.22,5.35,5.22,5.35,590,0
UUU.US,5,20260126,191000,5.2151,5.2151,5.2151,5.2151,140,0
UUU.US,5,20260126,191500,5.24,5.24,5.222,5.222,625,0
UUU.US,5,20260126,192500,5.06,5.06,5.06,5.06,100,0
UUU.US,5,20260126,194000,5.23,5.23,5.23,5.23,100,0
UUU.US,5,20260126,194500,5.2898,5.2898,5.2898,5.2898,200,0
UUU.US,5,20260126,195000,5.23,5.36,5.23,5.23,494,0
UUU.US,5,20260126,200000,5.29,5.38,5.29,5.38,460,0
UUU.US,5,20260126,200500,5.29,5.29,5.29,5.29,420,0
UUU.US,5,20260126,201000,5.29,5.29,5.29,5.29,450,0
UUU.US,5,20260126,202000,5.29,5.29,5.29,5.29,420,0
UUU.US,5,20260126,202500,5.29,5.29,5.29,5.29,420,0
UUU.US,5,20260126,203000,5.195,5.29,5.195,5.29,580,0
UUU.US,5,20260126,204000,5.29,5.29,5.2899,5.2899,500,0
UUU.US,5,20260126,204500,5.29,5.29,5.29,5.29,360,0
UUU.US,5,20260126,205000,5.29,5.29,5.29,5.29,450,0
UUU.US,5,20260126,210000,5.28,5.28,5.22,5.22,500,0
UUU.US,5,20260126,210500,5.22,5.29,5.15,5.15,23413,0
UUU.US,5,20260126,211000,5.1,5.1,5.08,5.1,7300,0
UUU.US,5,20260126,211500,5.09,5.09,5.09,5.09,300,0
UUU.US,5,20260126,213000,5.105,5.105,5.105,5.105,100,0
UUU.US,5,20260126,213500,5.105,5.105,5.105,5.105,100,0
UUU.US,5,20260126,214000,5.1838,5.1838,5.105,5.105,296,0
UUU.US,5,20260126,214500,5.105,5.105,5.105,5.105,100,0
UUU.US,5,20260126,215000,5.12,5.12,5.12,5.12,2473,0
UUU.US,5,20260126,215500,5.14,5.25,5.14,5.25,1701,0
UUU.US,5,20260127,153000,5.08,5.196,4.95,4.96,25546,0
UUU.US,5,20260127,153500,5.08,5.17,5.01,5.072,4667,0
UUU.US,5,20260127,154000,5.1,5.14,5.1,5.14,1796,0
UUU.US,5,20260127,154500,5.14,5.195,5.08,5.195,4192,0
