<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTNT.US,5,20260126,153000,0.6544,0.66,0.6493,0.659,27071,0
XTNT.US,5,20260126,153500,0.66,0.66,0.6569,0.6569,22920,0
XTNT.US,5,20260126,154000,0.66,0.66,0.6599,0.66,20684,0
XTNT.US,5,20260126,154500,0.6589,0.6589,0.6586,0.6586,700,0
XTNT.US,5,20260126,155000,0.6569,0.6569,0.6569,0.6569,1000,0
XTNT.US,5,20260126,155500,0.66,0.66,0.66,0.66,300,0
XTNT.US,5,20260126,160000,0.6599,0.6599,0.6599,0.6599,100,0
XTNT.US,5,20260126,160500,0.6585,0.66,0.6585,0.66,1250,0
XTNT.US,5,20260126,161000,0.6581,0.6591,0.6581,0.6591,200,0
XTNT.US,5,20260126,161500,0.6591,0.6591,0.6591,0.6591,531,0
XTNT.US,5,20260126,162000,0.6593,0.67,0.6593,0.6676,6984,0
XTNT.US,5,20260126,162500,0.6673,0.6676,0.6652,0.6676,2900,0
XTNT.US,5,20260126,163000,0.669899,0.67,0.6676,0.67,1253,0
XTNT.US,5,20260126,163500,0.6693,0.6693,0.668,0.6686,4637,0
XTNT.US,5,20260126,164000,0.669,0.669,0.668,0.669,2200,0
XTNT.US,5,20260126,164500,0.668,0.668,0.668,0.668,200,0
XTNT.US,5,20260126,165000,0.668,0.67,0.659301,0.665,6015,0
XTNT.US,5,20260126,165500,0.665,0.665,0.665,0.665,100,0
XTNT.US,5,20260126,170000,0.6624,0.665,0.6621,0.665,886,0
XTNT.US,5,20260126,170500,0.6592,0.66085,0.658,0.6603,1017,0
XTNT.US,5,20260126,171000,0.6603,0.6603,0.6603,0.6603,200,0
XTNT.US,5,20260126,173500,0.6581,0.6597,0.65,0.6597,10633,0
XTNT.US,5,20260126,175000,0.6549,0.6597,0.6549,0.6597,2200,0
XTNT.US,5,20260126,175500,0.6591,0.6592,0.6591,0.6592,2829,0
XTNT.US,5,20260126,180000,0.6548,0.6592,0.6548,0.6591,360,0
XTNT.US,5,20260126,181500,0.654,0.654,0.650601,0.650601,1006,0
XTNT.US,5,20260126,182500,0.651,0.6549,0.6407,0.6453,25981,0
XTNT.US,5,20260126,183000,0.6499,0.6499,0.6499,0.6499,300,0
XTNT.US,5,20260126,184000,0.6407,0.64535,0.64,0.64,13533,0
XTNT.US,5,20260126,184500,0.6422,0.6422,0.6422,0.6422,400,0
XTNT.US,5,20260126,185000,0.6422,0.6422,0.6361,0.636101,2000,0
XTNT.US,5,20260126,190000,0.6385,0.6385,0.6385,0.6385,200,0
XTNT.US,5,20260126,190500,0.63825,0.6426,0.633801,0.6426,2856,0
XTNT.US,5,20260126,191500,0.6427,0.6427,0.6413,0.6413,700,0
XTNT.US,5,20260126,192000,0.6427,0.6427,0.6427,0.6427,100,0
XTNT.US,5,20260126,192500,0.6427,0.6427,0.6414,0.6414,200,0
XTNT.US,5,20260126,193000,0.6427,0.6427,0.6427,0.6427,100,0
XTNT.US,5,20260126,194000,0.6427,0.6427,0.6342,0.639999,1055,0
XTNT.US,5,20260126,195000,0.6369,0.6369,0.635605,0.635605,700,0
XTNT.US,5,20260126,195500,0.64,0.64,0.6338,0.634,12704,0
XTNT.US,5,20260126,200000,0.6419,0.6419,0.6419,0.6419,300,0
XTNT.US,5,20260126,201000,0.641951,0.65,0.641951,0.65,230,0
XTNT.US,5,20260126,201500,0.65,0.65,0.65,0.65,100,0
XTNT.US,5,20260126,202000,0.65,0.65,0.65,0.65,100,0
XTNT.US,5,20260126,203000,0.65,0.65,0.65,0.65,200,0
XTNT.US,5,20260126,203500,0.65,0.65,0.65,0.65,100,0
XTNT.US,5,20260126,204000,0.65,0.65,0.65,0.65,100,0
XTNT.US,5,20260126,205000,0.65,0.65,0.65,0.65,100,0
XTNT.US,5,20260126,205500,0.65,0.65,0.6338,0.6338,10700,0
XTNT.US,5,20260126,210000,0.6407,0.6444,0.6391,0.6392,3700,0
XTNT.US,5,20260126,210500,0.6444,0.6444,0.6444,0.6444,100,0
XTNT.US,5,20260126,211000,0.6356,0.63705,0.63,0.6359,10900,0
XTNT.US,5,20260126,211500,0.6351,0.6353,0.6307,0.6353,420,0
